Ticker,period,close,perc_change,close_wig,perc_change_wig,Assets,Number of shares,Market_value
CAR,31/12/2019,204,0,57832.88,0.01,3486970000,"14,168,100",2890292400
CAR,30/09/2019,205,0.02,57320.3,-0.05,3841848000,"14,168,100",2904460500
CAR,30/06/2019,201,-0.05,60187.43,0.01,3735886000,"14,168,100",2847788100
CAR,31/03/2019,211,0.02,59668.03,0.03,3704391000,"14,168,100",2989469100
CAR,31/12/2018,207,-0.18,57690.5,-0.02,3443148000,"14,168,100",2932796700
CAR,30/09/2018,253,0.03,58974.76,0.05,3673510000,"14,168,100",3584529300
CAR,30/06/2018,246,-0.05,55954.44,-0.04,3523702000,"14,168,100",3485352600
CAR,31/03/2018,260,-0.15,58377.42,-0.08,3238161000,"14,168,100",3683706000
CAR,31/12/2017,307,0.07,63746.2,-0.01,2999502000,"14,168,100",4349606700
CAR,30/09/2017,286,-0.07,64289.69,0.05,3247653000,"14,168,100",4052076600
CAR,30/06/2017,306,0.02,61018.36,0.05,3147812000,"14,168,100",4335438600
CAR,31/03/2017,301,0.1,57911.31,0.12,2976167000,"14,168,100",4264598100
CAR,31/12/2016,274,-0.03,51754.03,0.1,2659319000,"14,168,100",3882059400
CAR,30/09/2016,284,0.12,47084.94,0.05,2639148000,"14,168,100",4023740400
CAR,30/06/2016,254,0.13,44748.53,-0.09,2497927000,"14,168,100",3598697400
CAR,31/03/2016,225,-0.04,49017.35,0.05,2529022000,"14,168,100",3187822500
CAR,31/12/2015,235,0,46467.38,-0.07,2300531000,"14,168,100",3329503500
CAR,30/09/2015,234,0.07,49824.59,-0.07,2388239000,"14,168,100",3315335400
CAR,30/06/2015,219,-0.03,53328.98,-0.01,2232537000,"14,168,100",3102813900
CAR,31/03/2015,226,0.02,54091.32,0.05,2063939000,"14,168,100",3201990600
CAR,31/12/2014,221,0.05,51416.08,-0.06,1872545000,"14,168,100",3131150100
CAR,30/09/2014,210,0.17,54878.58,0.06,1883517000,"14,168,100",2975301000
CAR,30/06/2014,180,-0.08,51934.94,-0.01,1854884000,"14,168,100",2550258000
CAR,31/03/2014,196,0.05,52373.47,0.02,1815705000,"14,168,100",2776947600
CAR,31/12/2013,186,0.15,51284.25,0.02,1629695000,"14,168,100",2635266600
CAR,30/09/2013,161,0.34,50301.85,0.12,1780406000,"14,168,100",2281064100
CAR,30/06/2013,121,0.2,44747.79,-0.01,1681285000,"14,168,100",1714340100
CAR,31/03/2013,101,0.2,45147.57,-0.05,1583852000,"14,168,100",1430978100
CAR,31/12/2012,84,-0.07,47460.59,0.09,1484993000,"14,168,100",1190120400
CAR,30/09/2012,90,-0.05,43739.81,0.07,1568528000,"14,168,100",1275129000
CAR,30/06/2012,95,0.05,40810.88,-0.01,1545987000,"14,168,100",1345969500
CAR,31/03/2012,90,0.17,41267.16,0.1,1550900000,"14,168,100",1275129000
CAR,31/12/2011,77,-0.01,37595.44,-0.02,1498178000,"14,168,100",1090943700
CAR,30/06/2011,88,0.11,48414.36,-0.01,1493574000,"14,168,100",1246792800
CAR,31/03/2011,79,0.13,48729.83,0.03,1432798000,"14,168,100",1119279900
CAR,31/12/2010,70,0.05,47489.91,0.05,1277225000,"14,168,100",991767000
CAR,30/06/2010,62,-0.12,39392.5,-0.07,1291927000,"13,736,100",851638200
CAR,31/03/2010,71,-0.09,42446.5,0.06,1290262000,"13,736,100",975263100
CAR,31/12/2009,78,0.08,39986,0.06,1224197000,"13,736,100",1071415800
CAR,30/06/2009,50,0.94,30419,0.27,1244659000,"13,736,100",686805000
CAR,31/03/2009,26,-0.02,24036.1,-0.12,1240102000,"13,736,100",357138600
CAR,31/12/2008,26,-0.42,27228.6,-0.27,1185592000,"13,736,100",357138600
CAR,30/06/2008,91,-0.18,41146.3,-0.14,1138826000,"13,696,100",1246345100
CAR,31/03/2008,111,-0.07,48011.3,-0.14,1139939000,"13,696,100",1520267100
CAR,31/12/2007,119,-0.11,55648.5,-0.08,767648000,"11,821,100",1406710900
CAR,30/06/2007,133,1.22,66077.7,0.15,518069000,"11,821,100",1572206300
CAR,31/03/2007,60,0.44,57524.6,0.14,514256000,"11,821,100",709266000
CAR,31/12/2006,42,0.23,50411.8,0.14,415770000,"11,821,100",496486200
CAR,30/06/2006,25,-0.03,40644.6,0.01,408417000,"11,821,100",295527500
CAR,31/03/2006,25,0.11,40220.3,0.13,414491000,"11,821,100",295527500
CAR,31/12/2005,23,-0.11,35600.8,0.05,373081000,"11,821,100",271885300
CAR,30/06/2005,29,-0.14,28332.1,0.04,367030000,"11,821,100",342811900
CAR,31/03/2005,33,-0.07,27268.1,0.02,340932000,"11,821,100",390096300
CAR,31/12/2004,36,0.02,26636.2,0.05,322190000,"11,821,100",425559600
CCC,31/12/2021,105.5,-0.13,69296.26,-0.01,3470900000,"54,868,000",5788574000
CCC,30/09/2021,120.9,0.08,70340.86,0.06,3214700000,"54,868,000",6633541200
CCC,30/06/2021,112.35,0.23,66067.21,0.14,2504700000,"54,868,000",6164419800
CCC,31/03/2021,91.34,0.04,58081.5,0.02,2545700000,"54,868,000",5011643120
CCC,30/09/2020,47.2,-0.21,49411.53,0,2594600000,"54,868,000",2589769600
CCC,30/06/2020,59.68,0.99,49569.17,0.19,2537200000,"54,868,000",3274522240
CCC,31/03/2020,29.98,-0.73,41624.62,-0.28,2664500000,"41,168,000",1234216640
CCC,31/12/2019,110,-0.2,57832.88,0.01,2576400000,"41,168,000",4528480000
CCC,30/09/2019,138.3,-0.18,57320.3,-0.05,2951700000,"41,168,000",5693534400
CCC,30/06/2019,167.99,-0.22,60187.43,0.01,2745000000,"41,168,000",6915812320
CCC,31/03/2019,214.43,0.11,59668.03,0.03,2714500000,"41,168,000",8827654240
CCC,31/12/2018,192.61,-0.12,57690.5,-0.02,2272400000,"41,168,000",7929368480
CCC,30/09/2018,219.21,0.07,58974.76,0.05,2430000000,"41,164,000",9023560440
CCC,30/06/2018,204.17,-0.11,55954.44,-0.04,2320800000,"41,164,000",8404453880
CCC,31/03/2018,230.01,-0.18,58377.42,-0.08,2119900000,"41,164,000",9468131640
CCC,31/12/2017,281.11,0.03,63746.2,-0.01,1606000000,"41,164,000",11571612040
CCC,30/09/2017,272.23,0.24,64289.69,0.05,1369700000,"39,164,000",10661615720
CCC,30/06/2017,219.92,-0.05,61018.36,0.05,1278500000,"39,164,000",8612946880
CCC,31/03/2017,232.62,0.17,57911.31,0.12,1270800000,"39,127,900",9101932098
CCC,31/12/2016,198.95,0.15,51754.03,0.1,1129200000,"38,400,000",7639680000
CCC,30/09/2016,173.01,0.12,47084.94,0.05,1285400000,"38,400,000",6643584000
CCC,30/06/2016,154.19,0,44748.53,-0.09,1116100000,"38,400,000",5920896000
CCC,31/03/2016,154.29,0.15,49017.35,0.05,1182800000,"38,400,000",5924736000
CCC,31/12/2015,133.82,-0.15,46467.38,-0.07,1038100000,"38,400,000",5138688000
CCC,30/09/2015,158.35,-0.04,49824.59,-0.07,1082359000,"38,400,000",6080640000
CCC,30/06/2015,165.09,-0.05,53328.98,-0.01,977432000,"38,400,000",6339456000
CCC,31/03/2015,173.53,0.37,54091.32,0.05,1027000000,"38,400,000",6663552000
CCC,31/12/2014,126.66,0.04,51416.08,-0.06,968500000,"38,400,000",4863744000
CCC,30/09/2014,121.26,0.14,54878.58,0.06,1009436000,"38,400,000",4656384000
CCC,30/06/2014,106.41,-0.13,51934.94,-0.01,1579704000,"38,400,000",4086144000
CCC,31/03/2014,122.83,0.12,52373.47,0.02,1256579000,"38,400,000",4716672000
CCC,31/12/2013,109.33,0.03,51284.25,0.02,1033385000,"38,400,000",4198272000
CCC,30/09/2013,105.66,0.35,50301.85,0.12,1061991000,"38,400,000",4057344000
CCC,30/06/2013,78.56,0.2,44747.79,-0.01,946454000,"38,400,000",3016704000
CCC,31/03/2013,65.43,-0.03,45147.57,-0.05,879751000,"38,400,000",2512512000
CCC,31/12/2012,67.47,0.32,47460.59,0.09,911784000,"38,400,000",2590848000
CCC,30/09/2012,51.2,-0.03,43739.81,0.07,925427000,"38,400,000",1966080000
CCC,30/06/2012,52.94,0.03,40810.88,-0.01,908840000,"38,400,000",2032896000
CCC,31/03/2012,51.54,0.22,41267.16,0.1,936921000,"38,400,000",1979136000
CCC,31/12/2011,42.17,0.11,37595.44,-0.02,923529000,"38,400,000",1619328000
CCC,30/06/2011,49.79,-0.03,48414.36,-0.01,765668000,"38,400,000",1911936000
CCC,31/03/2011,51.52,-0.13,48729.83,0.03,707477000,"38,400,000",1978368000
CCC,31/12/2010,58.88,0.18,47489.91,0.05,639381000,"38,400,000",2260992000
CCC,30/06/2010,45.93,-0.03,39392.5,-0.07,564491000,"38,400,000",1763712000
CCC,31/03/2010,47.21,0.14,42446.5,0.06,562111000,"38,400,000",1812864000
CCC,31/12/2009,41.34,0.03,39986,0.06,536231000,"38,400,000",1587456000
CCC,30/06/2009,32.49,0.35,30419,0.27,516543000,"38,400,000",1247616000
CCC,31/03/2009,24.12,-0.21,24036.1,-0.12,521769000,"38,400,000",926208000
CCC,31/12/2008,30.4,-0.09,27228.6,-0.27,472766000,"38,400,000",1167360000
CCC,30/06/2008,32.9,-0.13,41146.3,-0.14,423635000,"38,400,000",1263360000
CCC,31/03/2008,37.64,0,48011.3,-0.14,375179000,"38,400,000",1445376000
CCC,31/12/2007,37.48,-0.31,55648.5,-0.08,294786000,"38,400,000",1439232000
CCC,30/06/2007,64.08,0.36,66077.7,0.15,280181000,"38,400,000",2460672000
CCC,31/03/2007,47.11,0.15,57524.6,0.14,279186000,"38,400,000",1809024000
CCC,31/12/2006,41.1,0.09,50411.8,0.14,222462000,"38,400,000",1578240000
CCC,30/06/2006,34.44,0.13,40644.6,0.01,202707000,"38,400,000",1322496000
CCC,31/03/2006,30.44,0.21,40220.3,0.13,206783000,"38,400,000",1168896000
CCC,31/12/2005,25.06,0.31,35600.8,0.05,195999000,"38,400,000",962304000
CCC,30/06/2005,11.29,0.12,28332.1,0.04,178410000,"38,400,000",433536000
CCC,31/03/2005,10.12,0.32,27268.1,0.02,199517000,"38,400,000",388608000
CDL,31/12/2021,28.4,0.24,69296.26,-0.01,176611000,"6,054,544",171949049.6
CDL,30/09/2021,22.9,0.16,70340.86,0.06,186995000,"6,054,544",138649057.6
CDL,30/06/2021,19.8,0.23,66067.21,0.14,173788000,"6,054,544",119879971.2
CDL,31/03/2021,16,0.05,58081.5,0.02,170470000,"6,054,544",96872704
CDL,31/12/2020,15.3,0.42,57025.84,0.15,166215000,"6,054,544",92634523.2
CDL,30/09/2020,10.8,-0.09,49411.53,0,174254000,"6,054,544",65389075.2
CDL,30/06/2020,11.8,0.11,49569.17,0.19,189287000,"6,054,544",71443619.2
CDL,31/03/2020,10.6,-0.49,41624.62,-0.28,226955000,"6,054,544",64178166.4
CDL,31/12/2019,20.8,0.24,57832.88,0.01,211148000,"6,054,544",125934515.2
CDL,30/09/2019,16.7,-0.24,57320.3,-0.05,206546000,"6,054,544",101110884.8
CDL,30/06/2019,22,-0.12,60187.43,0.01,212222000,"6,054,544",133199968
CDL,31/03/2019,25.1,0.26,59668.03,0.03,198965000,"6,054,544",151969054.4
CDL,31/12/2018,19.9,0.13,57690.5,-0.02,186209000,"6,054,544",120485425.6
CDL,30/09/2018,17.6,-0.17,58974.76,0.05,160052000,"6,054,544",106559974.4
CDL,30/06/2018,21.3,-0.17,55954.44,-0.04,158907000,"6,054,544",128961787.2
CDL,31/03/2018,25.5,0.25,58377.42,-0.08,147721000,"6,054,544",154390872
CDL,31/12/2017,20.4,-0.09,63746.2,-0.01,149344000,"6,054,544",123512697.6
CDL,30/09/2017,22.4,-0.15,64289.69,0.05,147614000,"6,054,544",135621785.6
CDL,30/06/2017,26.5,0.15,61018.36,0.05,142771000,"6,054,544",160445416
CDL,31/03/2017,23,0.1,57911.31,0.12,134594000,"6,054,544",139254512
CDL,31/12/2016,20.9,-0.17,51754.03,0.1,134405000,"6,054,544",126539969.6
CDL,30/09/2016,25.1,0.09,47084.94,0.05,137356000,"6,054,544",151969054.4
CDL,30/06/2016,23.1,0.25,44748.53,-0.09,140553000,"6,054,544",139859966.4
CDL,31/03/2016,18.4,0.02,49017.35,0.05,135307000,"6,054,544",111403609.6
CDL,31/12/2015,18.1,0.43,46467.38,-0.07,125314000,"6,054,544",109587246.4
CDL,30/09/2015,12.7,0.1,49824.59,-0.07,133601000,"6,054,544",76892708.8
CDL,30/06/2015,11.6,-0.13,53328.98,-0.01,122330000,"6,054,544",70232710.4
CDL,31/03/2015,13.3,0.01,54091.32,0.05,122550000,"6,054,544",80525435.2
CDR,30/09/2021,191.8,0.04,70340.86,0.06,2039901000,"100,738,800",19321701840
CDR,30/06/2021,185.02,0,66067.21,0.14,2048030000,"100,738,800",18638692776
CDR,31/03/2021,185.17,-0.31,58081.5,0.02,2774764000,"100,738,800",18653803596
CDR,31/12/2020,267.01,-0.34,57025.84,0.15,2749262000,"100,654,626",26875791688
CDR,30/09/2020,406.69,0.06,49411.53,0,1511051000,"96,120,000",39091042800
CDR,30/06/2020,383.84,0.37,49569.17,0.19,1498658000,"96,120,000",36894700800
CDR,31/03/2020,281.01,0.03,41624.62,-0.28,1433397000,"96,120,000",27010681200
CDR,31/12/2019,271.67,0.15,57832.88,0.01,1315368000,"96,120,000",26112920400
CDR,30/09/2019,236.59,0.13,57320.3,-0.05,1135254000,"96,120,000",22741030800
CDR,30/06/2019,209.27,0.08,60187.43,0.01,1052138000,"96,120,000",20115032400
CDR,31/03/2019,193.48,0.37,59668.03,0.03,1073674000,"96,120,000",18597297600
CDR,31/12/2018,140.85,-0.22,57690.5,-0.02,1045726000,"96,120,000",13538502000
CDR,30/09/2018,181.19,0.16,58974.76,0.05,965359000,"96,120,000",17415982800
CDR,30/06/2018,156.52,0.48,55954.44,-0.04,944389000,"96,120,000",15044702400
CDR,31/03/2018,105.83,0.13,58377.42,-0.08,934572000,"96,120,000",10172379600
CDR,31/12/2017,93.83,-0.17,63746.2,-0.01,912555000,"96,120,000",9018939600
CDR,30/09/2017,112.46,0.35,64289.69,0.05,875675000,"96,120,000",10809655200
CDR,30/06/2017,83.23,0.18,61018.36,0.05,847457000,"96,120,000",8000067600
CDR,31/03/2017,70.75,0.42,57911.31,0.12,867577000,"96,120,000",6800490000
CDR,31/12/2016,49.77,0.31,51754.03,0.1,828529000,"96,120,000",4783892400
CDR,30/09/2016,38.01,0.45,47084.94,0.05,728502000,"95,820,000",3642118200
CDR,30/06/2016,26.12,0.07,44748.53,-0.09,690774000,"95,160,000",2485579200
CDR,31/03/2016,24.5,0.16,49017.35,0.05,631422000,"94,950,000",2326275000
CDR,31/12/2015,21.12,-0.18,46467.38,-0.07,604332000,"94,950,000",2005344000
CDR,30/09/2015,25.68,0.13,49824.59,-0.07,524034000,"94,950,000",2438316000
CDR,30/06/2015,22.67,0.21,53328.98,-0.01,513100000,"94,950,000",2152516500
CDR,31/03/2015,18.76,0.18,54091.32,0.05,221730000,"94,950,000",1781262000
CDR,31/12/2014,15.92,0.01,51416.08,-0.06,208818000,"94,950,000",1511604000
CDR,30/09/2014,15.82,0.09,54878.58,0.06,212886000,"94,950,000",1502109000
CDR,30/06/2014,14.53,-0.01,51934.94,-0.01,196835000,"94,950,000",1379623500
CDR,31/03/2014,14.61,-0.13,52373.47,0.02,199165000,"94,950,000",1387219500
CDR,31/12/2013,16.72,0.18,51284.25,0.02,186028000,"94,950,000",1587564000
CDR,30/09/2013,14.17,0.61,50301.85,0.12,168209000,"94,950,000",1345441500
CDR,30/06/2013,8.82,0.35,44747.79,-0.01,159485000,"94,950,000",837459000
CDR,31/03/2013,6.55,0.11,45147.57,-0.05,159187000,"94,950,000",621922500
CDR,31/12/2012,5.91,0.19,47460.59,0.09,156532000,"94,950,000",561154500
CDR,30/09/2012,4.97,0.02,43739.81,0.07,138579000,"94,950,000",471901500
CDR,30/06/2012,4.89,-0.26,40810.88,-0.01,144440000,"94,950,000",464305500
CDR,31/03/2012,6.6,0.31,41267.16,0.1,128100000,"94,950,000",626670000
CDR,31/12/2011,5.02,0.47,37595.44,-0.02,131194000,"94,950,000",476649000
CDR,30/09/2011,3.41,-0.52,38268.75,-0.21,135994000,"94,950,000",323779500
CDR,30/06/2011,7.15,-0.09,48414.36,-0.01,107169000,"94,950,000",678892500
CDR,31/03/2011,7.82,1.65,48729.83,0.03,106991000,"94,950,000",742509000
CDR,31/12/2010,2.956,0.02,47489.91,0.05,106027000,"70,000,000",206920000
CDR,30/09/2010,2.908,1.09,45236.72,0.15,76141000,"70,000,000",203560000
CDR,30/06/2010,1.392,0.17,39392.5,-0.07,71099000,"70,000,000",97440000
CDR,31/03/2010,1.192,-0.04,42446.5,0.06,35335000,"28,152,324",33557570.21
CDR,31/12/2009,1.24,-0.18,39986,0.06,35227000,"28,152,324",34908881.76
CDR,30/09/2009,1.507,0.24,37580.3,0.24,10895000,"28,152,324",42425552.27
CDR,30/06/2009,1.211,0.23,30419,0.27,10117000,"28,152,324",34092464.36
CDR,31/03/2009,0.982,-0.06,24036.1,-0.12,16046000,"28,152,324",27645582.17
CDR,31/12/2008,1.039,-0.1,27228.6,-0.27,23754000,"28,152,324",29250264.64
CDR,30/09/2008,1.154,-0.24,37367.3,-0.09,18765000,"28,152,324",32487781.9
CDR,30/06/2008,1.516,-0.21,41146.3,-0.14,21340000,"28,152,324",42678923.18
CDR,31/03/2008,1.917,-0.32,48011.3,-0.14,35482000,"9,384,108",17989335.04
CDR,31/12/2007,2.813,-0.17,55648.5,-0.08,22337000,"9,384,108",26397495.8
CDR,30/09/2007,3.38,0.3,60368.9,-0.09,21972000,"9,384,108",31718285.04
CDR,30/06/2007,2.612,0.49,66077.7,0.15,23179000,"9,384,108",24511290.1
CDR,31/03/2007,1.754,0.02,57524.6,0.14,28279000,"13,284,108",23300325.43
CDR,31/12/2006,1.726,-0.16,50411.8,0.14,38524000,"13,284,108",22928370.41
CDR,30/09/2006,2.05,-0.28,44052.5,0.08,42632000,"13,284,108",27232421.4
CDR,30/06/2006,2.832,-0.07,40644.6,0.01,53002000,"13,284,108",37620593.86
CDR,31/03/2006,3.051,0.15,40220.3,0.13,49400000,"9,384,108",28630913.51
CDR,31/12/2005,2.651,0.01,35600.8,0.05,79356000,"9,384,108",24877270.31
CDR,30/09/2005,2.632,-0.08,33801.2,0.19,56616000,"9,384,108",24698972.26
CDR,30/06/2005,2.87,-0.13,28332.1,0.04,50758000,"9,384,108",26932389.96
CDR,31/03/2005,3.29,-0.09,27268.1,0.02,55961000,"9,384,108",30873715.32
CDR,31/12/2004,3.62,-0.13,26636.2,0.05,73633000,"9,384,108",33970470.96
CDR,30/09/2004,4.19,0.04,25267.8,0.06,70934000,"9,384,108",39319412.52
CDR,30/06/2004,4.04,-0.13,23949.3,0,56578000,"9,384,108",37911796.32
CDR,31/03/2004,4.62,0.48,23870.1,0.15,59856000,"9,384,108",43354578.96
CDR,31/12/2003,3.127,-0.04,20820.1,0.08,74204000,"9,384,108",29344105.72
CDR,30/09/2003,3.24,0.03,19330.5,0.21,72774000,"9,384,108",30404509.92
CDR,30/06/2003,3.146,0.02,15987.5,0.16,53589000,"9,384,108",29522403.77
CDR,31/03/2003,3.089,0.27,13759.4,-0.04,75385000,"9,384,108",28987509.61
CDR,31/12/2002,2.431,-0.02,14366.7,0.12,86063000,"9,384,108",22812766.55
CDR,30/09/2002,2.469,-0.3,12797.3,-0.1,131270000,"9,384,108",23169362.65
CDR,30/06/2002,3.51,-0.12,14192.9,-0.06,141023000,"9,384,108",32938219.08
CDR,31/03/2002,3.99,-0.56,15026.4,0.08,177294000,"9,384,108",37442590.92
CDR,31/12/2001,9.08,0.04,13922.2,0.17,236102000,"9,384,108",85207700.64
CDR,30/09/2001,8.76,-0.13,11890.6,-0.15,229799000,"9,384,108",82204786.08
CDR,30/06/2001,10.04,-0.07,13945.4,-0.05,293827000,"9,384,108",94216444.32
CDR,31/12/2000,24.81,-0.16,17847.6,0.06,335331000,"9,384,108",232819719.5
CDR,31/12/1999,16.49,0.74,18083.6,0.27,437203000,"9,384,108",154743940.9
CIE,31/12/2021,42,0.01,69296.26,-0.01,4612557000,"52,699,909",2213396178
CIE,30/09/2021,41.5,-0.14,70340.86,0.06,4616121000,"52,699,909",2187046224
CIE,30/06/2021,48.5,0.39,66067.21,0.14,4495243000,"52,699,909",2555945587
CIE,31/03/2021,34.91,0.15,58081.5,0.02,4425226000,"52,699,909",1839753823
CIE,31/12/2020,30.34,0.18,57025.84,0.15,4357634000,"52,699,909",1598915239
CIE,30/09/2020,25.77,-0.14,49411.53,0,4073803000,"52,699,909",1358076655
CIE,30/06/2020,30.11,0.18,49569.17,0.19,4210337000,"52,699,909",1586794260
CIE,31/03/2020,25.44,-0.32,41624.62,-0.28,4413907000,"52,699,909",1340685685
CIE,31/12/2019,37.41,0.18,57832.88,0.01,3889932000,"52,699,909",1971503596
CIE,30/09/2019,31.8,-0.19,57320.3,-0.05,4076187000,"52,699,909",1675857106
CIE,30/06/2019,39.34,-0.22,60187.43,0.01,4063977000,"52,699,909",2073214420
CIE,31/03/2019,50.56,0.21,59668.03,0.03,4096604000,"52,699,909",2664507399
CIE,31/12/2018,41.74,-0.07,57690.5,-0.02,3927454000,"52,699,909",2199694202
CIE,30/09/2018,44.67,-0.11,58974.76,0.05,3556955000,"52,699,909",2354104935
CIE,30/06/2018,50.37,0.03,55954.44,-0.04,3713502000,"52,699,909",2654494416
CIE,31/03/2018,48.73,0.03,58377.42,-0.08,3694406000,"52,699,909",2568066566
CIE,31/12/2017,47.49,-0.12,63746.2,-0.01,3652664000,"52,699,909",2502718678
CIE,30/09/2017,53.81,0.07,64289.69,0.05,3709292000,"52,699,909",2835782103
CIE,30/06/2017,50.42,-0.24,61018.36,0.05,3699748000,"52,699,909",2657129412
CIE,31/03/2017,66.07,0.37,57911.31,0.12,3590678000,"52,699,909",3481882988
CIE,31/12/2016,48.16,-0.12,51754.03,0.1,3599972000,"52,699,909",2538027617
CIE,30/09/2016,54.64,0.32,47084.94,0.05,3623721000,"52,699,909",2879523028
CIE,30/06/2016,41.37,-0.25,44748.53,-0.09,3700364000,"52,699,909",2180195235
CIE,31/03/2016,54.86,-0.19,49017.35,0.05,3344372000,"52,699,909",2891117008
CIE,31/12/2015,67.35,0.18,46467.38,-0.07,3268739000,"52,699,909",3549338871
CIE,30/09/2015,56.84,0.25,49824.59,-0.07,3066801000,"52,699,909",2995462828
CIE,30/06/2015,45.42,0.07,53328.98,-0.01,2813113000,"52,699,909",2393629867
CIE,31/03/2015,42.51,0.27,54091.32,0.05,2648669000,"52,699,909",2240273132
CIE,31/12/2014,33.37,0.03,51416.08,-0.06,2573983000,"52,699,909",1758595963
CIE,30/09/2014,32.34,0.2,54878.58,0.06,2543686000,"52,699,909",1704315057
CIE,30/06/2014,27.02,0.09,51934.94,-0.01,2531182000,"52,699,909",1423951541
CIE,31/03/2014,24.7,0.05,52373.47,0.02,2601546000,"52,699,909",1301687752
CIE,31/12/2013,23.45,0.32,51284.25,0.02,2563439000,"52,699,909",1235812866
CIE,30/09/2013,17.73,-0.03,50301.85,0.12,2679812000,"52,699,909",934369386.6
CIE,30/06/2013,18.28,0.07,44747.79,-0.01,2709091000,"52,699,909",963354336.5
CIE,31/03/2013,17.14,0.02,45147.57,-0.05,2907736000,"52,699,911",903276474.5
CIE,31/12/2012,16.77,0.22,47460.59,0.09,2665988000,"52,699,909",883777473.9
CIE,30/09/2012,13.77,-0.12,43739.81,0.07,2627786000,"52,699,909",725677746.9
CIE,30/06/2012,15.66,0.26,40810.88,-0.01,2619912000,"52,699,909",825280574.9
CIE,31/03/2012,12.46,-0.05,41267.16,0.1,2823620000,"52,699,909",656640866.1
CIE,31/12/2011,13.14,0.28,37595.44,-0.02,2784281000,"52,699,909",692476804.3
CIE,30/09/2011,10.27,-0.42,38268.75,-0.21,2933171000,"52,699,909",541228065.4
CIE,30/06/2011,17.81,-0.12,48414.36,-0.01,2797193000,"51,000,000",908310000
CIE,31/03/2011,20.29,0.27,48729.83,0.03,2640533000,"51,000,000",1034790000
CIE,31/12/2010,16.03,0.03,47489.91,0.05,2424578000,"28,000,284",448844552.5
CIE,30/09/2010,15.59,-0.05,45236.72,0.15,2440007000,"28,000,284",436524427.6
CIE,30/06/2010,16.43,-0.24,39392.5,-0.07,2053903000,"28,000,284",460044666.1
CIE,31/03/2010,21.68,-0.1,42446.5,0.06,1970261000,"28,000,284",607046157.1
CIE,31/12/2009,23.96,-0.09,39986,0.06,1977009000,"28,000,284",670886804.6
CIE,30/09/2009,26.35,0.54,37580.3,0.24,2072011000,"28,000,284",737807483.4
CIE,30/06/2009,17.07,0.1,30419,0.27,2125973000,"28,000,284",477964847.9
CIE,31/03/2009,15.45,0.02,24036.1,-0.12,2216499000,"28,000,284",432604387.8
CIE,31/12/2008,15.15,-0.54,27228.6,-0.27,2023810000,"28,000,284",424204302.6
CIE,30/09/2008,32.85,-0.21,37367.3,-0.09,2087132000,"28,000,284",919809329.4
CIE,30/06/2008,41.84,-0.19,41146.3,-0.14,1971229000,"28,000,284",1171531883
CIE,31/03/2008,51.84,-0.31,48011.3,-0.14,1885749000,"28,000,284",1451534723
CIE,31/12/2007,75.58,-0.05,55648.5,-0.08,1822873000,"28,000,284",2116261465
CIE,30/09/2007,79.19,-0.26,60368.9,-0.09,1560823000,"28,000,284",2217342490
CIE,30/06/2007,106.63,0.84,66077.7,0.15,1554970000,"28,000,284",2985670283
CIE,31/03/2007,57.94,0.46,57524.6,0.14,1566380000,"28,000,284",1622336455
CIE,31/12/2006,39.69,0.21,50411.8,0.14,1385077000,"28,000,284",1111331272
CIE,30/09/2006,32.73,0.19,44052.5,0.08,1040995000,"28,000,284",916449295.3
CIE,30/06/2006,27.61,-0.05,40644.6,0.01,1023959000,"28,000,284",773087841.2
CIE,31/03/2006,29.05,0.37,40220.3,0.13,984891000,"28,000,284",813408250.2
CIE,31/12/2005,21.24,0.26,35600.8,0.05,903176000,"28,000,284",594726032.2
CIE,30/09/2005,16.83,0.03,33801.2,0.19,912601000,"28,000,284",471244779.7
CIE,30/06/2005,16.28,-0.06,28332.1,0.04,899005000,"28,000,284",455844623.5
CIG,30/09/2021,1.448,0,70340.86,0.06,171216000,"182,943,015",264901485.7
CIG,30/06/2021,1.452,0.05,66067.21,0.14,131138000,"182,943,015",265633257.8
CIG,31/03/2021,1.386,0.07,58081.5,0.02,112930000,"182,943,015",253559018.8
CIG,31/12/2020,1.296,-0.15,57025.84,0.15,111234000,"182,943,015",237094147.4
CIG,30/09/2020,1.528,0.5,49411.53,0,106415000,"182,943,015",279536926.9
CIG,30/06/2020,1.02,0.62,49569.17,0.19,94444000,"161,943,015",165181875.3
CIG,31/03/2020,0.63,-0.25,41624.62,-0.28,99339000,"161,943,015",102024099.5
CIG,31/12/2019,0.839,-0.13,57832.88,0.01,101744000,"161,943,015",135870189.6
CIG,30/09/2019,0.96,-0.05,57320.3,-0.05,92768000,"161,943,015",155465294.4
CIG,30/06/2019,1.01,-0.11,60187.43,0.01,108091000,"151,109,990",152621089.9
CIG,31/03/2019,1.141,0.39,59668.03,0.03,90041000,"151,109,990",172416498.6
CIG,31/12/2018,0.82,-0.13,57690.5,-0.02,81946000,"151,109,990",123910191.8
CIG,30/09/2018,0.94,0.07,58974.76,0.05,86336000,"151,109,990",142043390.6
CIG,30/06/2018,0.88,-0.08,55954.44,-0.04,93859000,"151,109,990",132976791.2
CIG,31/03/2018,0.96,-0.07,58377.42,-0.08,103757000,"151,109,990",145065590.4
CIG,31/12/2017,1.03,-0.09,63746.2,-0.01,107382000,"151,069,990",155602089.7
CIG,30/09/2017,1.13,0.12,64289.69,0.05,113228000,"150,849,990",170460488.7
