Ticker,period,close,perc_change,close_wig,perc_change_wig,Assets,Number of shares,Market_value
AGO,30/09/2014,7.08,-0.09,54878.58,0.06,1160837000,"50,937,386",360636692.9
AGO,30/06/2014,7.8,-0.2,51934.94,-0.01,1225378000,"50,937,386",397311610.8
AGO,31/03/2014,9.73,0.14,52373.47,0.02,1230983000,"50,937,386",495620765.8
AGO,31/12/2013,8.51,0,51284.25,0.02,1255186000,"50,937,386",433477154.9
AGO,30/09/2013,8.47,0.13,50301.85,0.12,1270601000,"50,937,386",431439659.4
AGO,30/06/2013,7.47,0.13,44747.79,-0.01,1297417000,"50,937,386",380502273.4
AGO,31/03/2013,6.6,-0.27,45147.57,-0.05,1295893000,"50,937,386",336186747.6
AGO,31/12/2012,9.02,0.39,47460.59,0.09,1306076000,"50,937,386",459455221.7
AGO,30/09/2012,6.51,-0.2,43739.81,0.07,1338251000,"50,937,386",331602382.9
AGO,30/06/2012,8.13,-0.17,40810.88,-0.01,1428479000,"50,937,386",414120948.2
AGO,31/03/2012,9.85,0.14,41267.16,0.1,1416964000,"50,937,386",501733252.1
AGO,31/12/2011,8.61,-0.15,37595.44,-0.02,1456583000,"50,937,386",438570893.5
AGO,30/09/2011,10.08,-0.26,38268.75,-0.21,1434699000,"50,937,386",513448850.9
AGO,30/06/2011,13.6,-0.31,48414.36,-0.01,1460121000,"50,937,386",692748449.6
AGO,31/03/2011,19.77,0,48729.83,0.03,1470198000,"50,937,386",1007032121
AGO,31/12/2010,19.7,-0.07,47489.91,0.05,1481414000,"50,937,386",1003466504
AGO,30/09/2010,21.29,0.25,45236.72,0.15,1355784000,"50,937,386",1084456948
AGO,30/06/2010,16.98,-0.14,39392.5,-0.07,1388249000,"50,937,386",864916814.3
AGO,31/03/2010,19.81,0.2,42446.5,0.06,1381780000,"50,937,386",1009069617
AGO,31/12/2009,16.57,0.02,39986,0.06,1364429000,"50,937,386",844032486
AGO,30/09/2009,16.22,0.56,37580.3,0.24,1353280000,"54,977,535",891735617.7
AGO,30/06/2009,10.41,0.06,30419,0.27,1368600000,"54,977,535",572316139.4
AGO,31/03/2009,9.81,-0.18,24036.1,-0.12,1395819000,"54,977,535",539329618.4
AGO,31/12/2008,11.96,-0.41,27228.6,-0.27,1399495000,"54,977,535",657531318.6
AGO,30/09/2008,20.23,-0.18,37367.3,-0.09,1425536000,"54,977,535",1112195533
AGO,30/06/2008,24.66,-0.2,41146.3,-0.14,1481202000,"54,977,535",1355746013
AGO,31/03/2008,30.75,-0.24,48011.3,-0.14,1461519000,"54,977,535",1690559201
AGO,31/12/2007,40.24,0.08,55648.5,-0.08,1444104000,"54,977,535",2212296008
AGO,30/09/2007,37.2,0.26,60368.9,-0.09,1441934000,"54,977,535",2045164302
AGO,30/06/2007,29.51,-0.11,66077.7,0.15,1488104000,"54,977,535",1622387058
AGO,31/03/2007,33.12,0.3,57524.6,0.14,1447086000,"54,977,535",1820855959
AGO,31/12/2006,25.55,0.23,50411.8,0.14,1409404000,"54,977,535",1404676019
AGO,30/09/2006,20.76,-0.14,44052.5,0.08,1415445000,"56,757,525",1178286219
AGO,30/06/2006,24.05,-0.29,40644.6,0.01,1444483000,"56,757,525",1365018476
AGO,31/03/2006,34.07,-0.29,40220.3,0.13,1439362000,"56,757,525",1933728877
AGO,31/12/2005,47.68,0.01,35600.8,0.05,1434053000,"56,757,525",2706198792
AGO,30/09/2005,46.99,0.06,33801.2,0.19,1473791000,"56,757,525",2667036100
AGO,30/06/2005,44.23,0.08,28332.1,0.04,1532801000,"56,757,525",2510385331
AGO,31/03/2005,40.84,0.04,27268.1,0.02,1452251000,"56,757,525",2317977321
AGO,31/12/2004,39.25,0.12,26636.2,0.05,1387166000,"56,757,525",2227732856
AGO,30/09/2004,35.18,0.07,25267.8,0.06,1355334000,"56,757,525",1996729730
AGO,30/06/2004,32.96,0.05,23949.3,0,1327779000,"56,757,525",1870728024
AGO,31/03/2004,31.3,-0.11,23870.1,0.15,1362544000,"56,757,525",1776510533
AGO,31/12/2003,35.31,-0.05,20820.1,0.08,1313807000,"56,757,525",2004108208
AGO,30/09/2003,37.04,0.16,19330.5,0.21,1339474000,"56,757,525",2102298726
AGO,30/06/2003,31.86,0.08,15987.5,0.16,1338251000,"56,757,525",1808294747
AGO,31/03/2003,29.37,-0.13,13759.4,-0.04,1317075000,"56,757,525",1666968509
AGO,31/12/2002,33.93,-0.03,14366.7,0.12,1321209000,"56,757,525",1925782823
AGO,30/09/2002,35.1,-0.09,12797.3,-0.1,1162449000,"56,757,525",1992189128
AGO,30/06/2002,38.7,-0.1,14192.9,-0.06,1158116000,"56,757,525",2196516218
AGO,31/03/2002,42.98,0.21,15026.4,0.08,1107825000,"56,757,525",2439438425
AGO,31/12/2001,35.52,0.15,13922.2,0.17,1100814000,"56,757,525",2016027288
AGO,30/09/2001,30.75,-0.18,11890.6,-0.15,1090867000,"56,757,525",1745293894
AGO,30/06/2001,37.66,0.01,13945.4,-0.05,1088426000,"56,757,525",2137488392
AGO,31/03/2001,37.31,-0.36,14698.9,-0.18,1036849000,"56,757,525",2117623258
AGO,31/12/2000,58.74,-0.04,17847.6,0.06,1010035000,"56,757,525",3333937019
AGO,30/09/2000,60.88,-0.22,16882.6,-0.14,993679000,"56,757,525",3455398122
AGO,30/06/2000,77.74,-0.05,19642.7,-0.08,983273000,"56,757,525",4412329994
AGO,31/03/2000,81.89,0.96,21255.9,0.18,900025000,"56,757,525",4647873722
AGO,31/12/1999,41.74,0.65,18083.6,0.27,825839000,"56,757,525",2369059094
AGO,30/09/1999,25.22,-0.19,14259.4,-0.15,955963000,"56,757,525",1431424781
AGT,31/12/2020,4.38,0.1,57025.84,0.15,8840000,"21,670,000",94914600
AGT,31/12/2019,3.7,0.48,57832.88,0.01,5848000,"21,670,000",80179000
AGT,31/12/2018,3.48,-0.06,57690.5,-0.02,4937000,"21,670,000",75411600
AGT,31/12/2017,4.58,0.09,63746.2,-0.01,5271000,"21,670,000",99248600
ALG,30/09/2021,7,-0.29,70340.86,0.06,56714000,"59,999,388",419995716
ALG,30/06/2021,9.8,-0.02,66067.21,0.14,51685000,"59,999,388",587994002.4
ALG,31/03/2021,9.98,-0.29,58081.5,0.02,66087000,"59,999,388",598793892.2
ALG,31/12/2020,14,-0.39,57025.84,0.15,54720000,"34,468,200",482554800
ALG,30/09/2020,23,0.21,49411.53,0,51321000,"34,468,200",792768600
ALG,30/06/2020,19,1.59,49569.17,0.19,51408000,"34,468,200",654895800
ALG,31/03/2020,7.34,0.32,41624.62,-0.28,60000,"4,308,200",31622188
ALG,31/12/2019,5.56,0.11,57832.88,0.01,31444000,"4,308,200",23953592
ALG,30/09/2019,5,1.06,57320.3,-0.05,19415000,"4,308,200",21541000
ALG,30/06/2019,2.43,1.01,60187.43,0.01,23000,"4,308,200",10468926
