No,open,high,low,close,perc_change,abs_change,vol,Ticker,period
12,26.3,27.9,19.5,20.8,-20.91%,-5.5,"281,022",B24,31-12-2020
11,34.1,43.0,23.1,26.3,-22.65%,-7.7,"744,876",B24,30-09-2020
10,23.0,35.2,21.5,34.0,+47.83%,+11.0,"232,753",B24,30-06-2020
9,20.0,27.0,15.5,23.0,+15.00%,+3.0,"210,762",B24,31-03-2020
8,24.0,28.4,18.0,20.0,-17.01%,-4.1,"49,946",B24,31-12-2019
7,41.1,45.5,22.1,24.1,-41.36%,-17.0,"173,244",B24,30-09-2019
6,37.0,43.0,35.0,41.1,+12.60%,+4.6,"74,378",B24,30-06-2019
5,35.7,46.0,34.9,36.5,+2.82%,+1.0,"23,890",B24,31-03-2019
4,35.5,39.0,31.1,35.5,-4.05%,-1.5,"16,066",B24,31-12-2018
3,37.6,43.0,30.0,37.0,-5.13%,-2.0,"48,373",B24,30-09-2018
2,50.0,53.9,37.5,39.0,-20.41%,-10.0,"29,280",B24,30-06-2018
1,57.0,58.0,35.0,49.0,,,"110,244",B24,31-03-2018
109,200.7,209.2,180.1,202.0,+0.90%,+1.8,"437,608",BDX,30-06-2022
108,209.6,230.2,180.1,200.2,-1.54%,-3.1,"725,077",BDX,31-03-2022
107,244.3,259.3,192.6,203.3,-20.48%,-52.4,"1,508,507",BDX,31-12-2021
106,237.8,269.3,225.5,255.7,+7.32%,+17.4,"529,368",BDX,30-09-2021
105,175.5,179.5,170.3,172.3,-30.07%,-74.1,"14,396",BDX,30-06-2021
104,248.8,281.0,237.5,246.3,-0.49%,-1.2,"978,037",BDX,31-03-2021
103,198.0,250.0,177.1,247.6,+25.51%,+50.3,"477,169",BDX,31-12-2020
102,173.1,199.7,167.9,197.2,+14.49%,+25.0,"866,181",BDX,30-09-2020
101,125.4,192.8,121.8,175.1,+40.69%,+50.6,"1,240,529",BDX,30-06-2020
100,137.4,152.4,110.7,124.5,-8.26%,-11.2,"1,832,496",BDX,31-03-2020
99,100.8,141.2,92.3,135.7,+37.15%,+36.7,"575,050",BDX,31-12-2019
98,107.9,113.6,93.2,98.9,-7.79%,-8.4,"576,525",BDX,30-09-2019
97,112.0,115.6,96.4,107.3,-3.61%,-4.0,"535,312",BDX,30-06-2019
96,85.4,113.4,77.4,111.3,+30.30%,+25.9,"1,095,015",BDX,31-03-2019
95,78.8,100.3,73.8,85.4,+9.64%,+7.5,"875,554",BDX,31-12-2018
94,93.5,102.4,72.5,77.9,-16.05%,-14.9,"1,475,320",BDX,30-09-2018
93,136.9,147.8,91.1,92.8,-32.22%,-44.1,"913,630",BDX,30-06-2018
92,144.4,156.0,124.1,136.9,-5.20%,-7.5,"947,906",BDX,31-03-2018
91,149.5,149.9,118.7,144.4,-3.19%,-4.8,"1,144,149",BDX,31-12-2017
90,162.1,169.6,144.4,149.2,-7.98%,-12.9,"902,834",BDX,30-09-2017
89,157.5,185.1,148.5,162.1,+2.98%,+4.7,"1,277,258",BDX,30-06-2017
88,129.1,176.8,124.8,157.4,+23.69%,+30.2,"1,024,746",BDX,31-03-2017
87,134.7,136.2,119.0,127.3,-5.54%,-7.5,"722,894",BDX,31-12-2016
86,111.2,140.2,109.9,134.7,+21.98%,+24.3,"1,144,066",BDX,30-09-2016
85,121.1,122.7,106.8,110.5,-7.47%,-8.9,"1,639,067",BDX,30-06-2016
84,119.4,126.8,108.9,119.4,0.00%,0.0,"1,277,785",BDX,31-03-2016
83,123.1,134.8,108.6,119.4,-2.96%,-3.6,"1,087,095",BDX,31-12-2015
82,100.3,128.8,98.5,123.0,+22.63%,+22.7,"705,300",BDX,30-09-2015
81,96.8,110.6,95.8,100.3,+3.66%,+3.5,"977,874",BDX,30-06-2015
80,84.0,100.3,81.9,96.8,+15.12%,+12.7,"1,042,065",BDX,31-03-2015
79,81.4,84.1,74.9,84.1,+2.64%,+2.2,"804,970",BDX,31-12-2014
78,71.7,82.5,66.0,81.9,+14.87%,+10.6,"1,179,066",BDX,30-09-2014
77,75.6,81.0,67.1,71.3,-4.71%,-3.5,"1,777,121",BDX,30-06-2014
76,72.9,76.2,63.2,74.8,+4.17%,+3.0,"1,460,111",BDX,31-03-2014
75,57.1,75.6,56.7,71.8,+24.52%,+14.1,"1,675,079",BDX,31-12-2013
74,51.5,59.3,44.6,57.7,+12.76%,+6.5,"1,733,306",BDX,30-09-2013
73,38.8,51.8,36.4,51.1,+31.66%,+12.3,"2,081,061",BDX,30-06-2013
72,36.9,40.8,31.0,38.8,+8.14%,+2.9,"1,346,256",BDX,31-03-2013
71,30.3,37.4,25.9,35.9,+18.64%,+5.6,"897,798",BDX,31-12-2012
70,28.0,32.2,23.3,30.3,+7.86%,+2.2,"1,481,794",BDX,30-09-2012
69,38.4,38.8,25.7,28.1,-26.28%,-10.0,"2,589,509",BDX,30-06-2012
68,32.8,39.5,32.5,38.1,+12.16%,+4.1,"1,626,336",BDX,31-03-2012
67,31.9,36.0,29.7,34.0,+4.79%,+1.6,"1,664,319",BDX,31-12-2011
66,40.8,41.2,27.5,32.4,-20.22%,-8.2,"2,371,964",BDX,30-09-2011
65,41.5,44.3,36.8,40.6,-1.91%,-0.8,"2,647,241",BDX,30-06-2011
64,40.9,42.5,36.5,41.4,+3.01%,+1.2,"2,712,163",BDX,31-03-2011
63,38.1,43.2,37.6,40.2,+5.51%,+2.1,"3,058,823",BDX,31-12-2010
62,35.3,39.7,34.7,38.1,+7.77%,+2.7,"2,579,033",BDX,30-09-2010
61,37.7,41.0,34.1,35.3,-6.35%,-2.4,"2,878,681",BDX,30-06-2010
60,27.7,39.1,27.1,37.7,+36.98%,+10.2,"7,266,676",BDX,31-03-2010
59,30.4,32.0,26.3,27.5,-9.76%,-3.0,"4,479,755",BDX,31-12-2009
58,26.2,31.6,23.4,30.5,+12.36%,+3.4,"9,136,025",BDX,30-09-2009
57,24.3,27.2,20.9,27.2,+13.67%,+3.3,"4,792,978",BDX,30-06-2009
56,18.4,24.3,17.4,23.9,+34.44%,+6.1,"7,283,269",BDX,31-03-2009
55,24.7,25.1,17.4,17.8,-28.02%,-6.9,"5,808,961",BDX,31-12-2008
54,25.4,30.6,20.4,24.7,-5.46%,-1.4,"3,829,727",BDX,30-09-2008
53,28.9,29.2,25.7,26.1,-10.38%,-3.0,"3,410,377",BDX,30-06-2008
52,32.0,34.7,24.4,29.2,-8.91%,-2.9,"3,971,805",BDX,31-03-2008
51,24.9,32.4,22.0,32.0,+29.58%,+7.3,"6,165,222",BDX,31-12-2007
50,43.1,45.9,24.5,24.7,-43.20%,-18.8,"5,760,952",BDX,30-09-2007
49,36.3,64.7,35.1,43.5,+23.15%,+8.2,"9,526,121",BDX,30-06-2007
48,26.1,41.1,25.6,35.3,+35.34%,+9.2,"12,897,743",BDX,31-03-2007
47,26.3,27.8,23.0,26.1,-1.32%,-0.3,"4,701,471",BDX,31-12-2006
46,19.5,29.3,18.8,26.4,+36.45%,+7.1,"3,403,629",BDX,30-09-2006
45,16.3,22.0,15.1,19.4,+20.56%,+3.3,"4,855,027",BDX,30-06-2006
44,13.2,17.0,12.9,16.1,+19.99%,+2.7,"3,367,799",BDX,31-03-2006
43,13.9,14.4,11.3,13.4,-3.73%,-0.5,"1,347,964",BDX,31-12-2005
42,16.3,17.4,13.4,13.9,-14.36%,-2.3,"3,697,585",BDX,30-09-2005
41,17.0,17.4,15.3,16.2,-2.91%,-0.5,"1,437,040",BDX,30-06-2005
40,14.6,18.8,14.6,16.7,+14.25%,+2.1,"3,898,773",BDX,31-03-2005
39,17.2,18.1,14.3,14.6,-13.37%,-2.3,"4,498,078",BDX,31-12-2004
38,15.2,17.4,14.4,16.9,+11.46%,+1.7,"1,947,526",BDX,30-09-2004
37,17.5,18.1,15.1,15.2,-12.27%,-2.1,"5,589,409",BDX,30-06-2004
36,12.2,17.3,12.2,17.3,+38.83%,+4.8,"4,638,836",BDX,31-03-2004
35,11.7,13.6,11.5,12.5,+3.47%,+0.4,"2,938,918",BDX,31-12-2003
34,9.32,14.4,9.12,12.0,+28.14%,+2.6,"5,399,779",BDX,30-09-2003
33,9.08,10.1,8.35,9.40,+3.46%,+0.31,"3,639,726",BDX,30-06-2003
32,10.2,10.8,8.00,9.08,-12.42%,-1.29,"1,740,719",BDX,31-03-2003
31,8.73,11.3,8.59,10.4,+18.73%,+1.6,"2,016,256",BDX,31-12-2002
30,11.8,11.8,8.35,8.73,-23.94%,-2.75,"3,157,046",BDX,30-09-2002
29,9.81,11.6,9.81,11.5,+14.18%,+1.4,"4,121,313",BDX,30-06-2002
28,8.25,11.5,8.25,10.1,+17.96%,+1.5,"5,443,530",BDX,31-03-2002
27,7.06,8.87,6.64,8.52,+20.69%,+1.46,"1,956,669",BDX,31-12-2001
26,6.63,7.20,5.95,7.06,+6.57%,+0.44,"4,507,215",BDX,30-09-2001
25,6.56,6.96,6.05,6.63,-0.26%,-0.02,"3,652,066",BDX,30-06-2001
24,6.73,7.83,5.65,6.64,-0.77%,-0.05,"4,744,572",BDX,31-03-2001
23,8.21,8.45,6.32,6.70,-18.45%,-1.51,"2,899,971",BDX,31-12-2000
22,9.78,10.4,7.72,8.21,-16.02%,-1.57,"2,423,898",BDX,30-09-2000
21,12.9,14.1,9.25,9.78,-25.65%,-3.37,"6,289,640",BDX,30-06-2000
20,10.4,14.1,9.40,13.2,+31.72%,+3.2,"15,006,596",BDX,31-03-2000
19,7.72,10.3,7.65,9.98,+29.86%,+2.30,"4,513,050",BDX,31-12-1999
18,8.17,9.05,7.45,7.69,-3.90%,-0.31,"7,313,620",BDX,30-09-1999
17,6.47,8.80,6.40,8.00,+21.05%,+1.39,"8,062,778",BDX,30-06-1999
16,5.81,7.59,5.43,6.61,+18.74%,+1.04,"14,536,414",BDX,31-03-1999
15,4.80,6.78,4.59,5.57,+8.85%,+0.45,"14,978,050",BDX,31-12-1998
14,5.64,7.38,4.18,5.11,-6.96%,-0.38,"30,178,954",BDX,30-09-1998
13,5.22,6.75,4.59,5.50,+5.33%,+0.28,"25,056,428",BDX,30-06-1998
12,4.80,6.12,3.69,5.22,+9.49%,+0.45,"26,547,695",BDX,31-03-1998
11,5.50,6.89,3.86,4.77,-13.84%,-0.77,"23,186,067",BDX,31-12-1997
10,10.4,11.7,5.39,5.53,-46.28%,-4.77,"16,937,690",BDX,30-09-1997
9,9.57,12.8,8.87,10.3,+6.85%,+0.7,"13,977,404",BDX,30-06-1997
8,6.61,12.3,6.51,9.64,+46.57%,+3.06,"19,552,552",BDX,31-03-1997
7,7.69,9.19,6.16,6.58,-14.08%,-1.08,"9,438,211",BDX,31-12-1996
6,7.83,8.11,6.09,7.65,-3.52%,-0.28,"8,946,661",BDX,30-09-1996
5,8.07,9.01,7.31,7.93,-0.86%,-0.07,"9,273,365",BDX,30-06-1996
4,6.78,9.64,6.54,8.00,+23.64%,+1.53,"19,955,385",BDX,31-03-1996
3,8.70,8.70,5.64,6.47,-22.82%,-1.91,"19,232,321",BDX,31-12-1995
2,3.31,9.81,3.17,8.39,+160.54%,+5.17,"27,288,293",BDX,30-09-1995
1,3.31,3.37,2.818,3.22,,,"6,288,409",BDX,30-06-1995
54,25.10,41.50,24.20,35.16,+40.08%,+10.06,"8,904,723",BMC,30-06-2022
53,21.50,31.70,14.05,25.10,+16.74%,+3.60,"14,263,207",BMC,31-03-2022
52,12.50,33.80,12.05,21.50,+72.69%,+9.05,"33,829,859",BMC,31-12-2021
51,3.43,12.45,3.10,12.45,+262.97%,+9.02,"6,406,830",BMC,30-09-2021
50,2.99,3.55,2.80,3.43,+15.49%,+0.46,"672,297",BMC,30-06-2021
49,3.39,4.28,2.76,2.97,-12.39%,-0.42,"2,176,457",BMC,31-03-2021
48,2.00,6.00,1.65,3.39,+69.50%,+1.39,"3,137,764",BMC,31-12-2020
47,2.71,2.94,1.83,2.00,-32.66%,-0.97,"1,623,671",BMC,30-09-2020
46,1.63,3.32,1.40,2.97,+81.32%,+1.33,"1,505,635",BMC,30-06-2020
45,3.19,3.19,1.52,1.638,-45.31%,-1.357,"901,473",BMC,31-03-2020
44,3.74,3.98,2.86,2.995,-19.92%,-0.745,"545,438",BMC,31-12-2019
43,3.93,4.40,3.16,3.74,-4.83%,-0.19,"624,075",BMC,30-09-2019
42,4.00,5.01,2.75,3.93,-7.92%,-0.34,"1,159,976",BMC,30-06-2019
41,2.31,4.51,2.31,4.27,+84.76%,+1.96,"562,512",BMC,31-03-2019
40,3.85,3.96,2.20,2.31,-40.00%,-1.54,"443,772",BMC,31-12-2018
39,3.19,4.29,3.08,3.85,+34.62%,+0.99,"730,305",BMC,30-09-2018
38,3.41,4.29,2.75,2.86,-23.53%,-0.88,"650,665",BMC,30-06-2018
37,3.41,5.94,2.86,3.74,+9.68%,+0.33,"9,948,070",BMC,31-03-2018
36,10.12,10.89,2.97,3.41,-66.30%,-6.71,"9,995,347",BMC,31-12-2017
35,8.36,11.44,6.82,10.12,+24.32%,+1.98,"9,905,603",BMC,30-09-2017
34,9.57,10.34,5.72,8.14,-41.27%,-5.72,"7,881,800",BMC,30-06-2017
33,7.48,16.50,7.26,13.86,+85.29%,+6.38,"7,829,173",BMC,31-03-2017
32,9.90,9.90,6.82,7.48,-27.66%,-2.86,"4,374,025",BMC,31-12-2016
31,10.01,14.41,9.24,10.34,+3.30%,+0.33,"4,753,201",BMC,30-09-2016
30,10.67,17.60,9.79,10.01,-4.21%,-0.44,"5,302,372",BMC,30-06-2016
29,7.81,11.22,6.05,10.45,+28.38%,+2.31,"1,775,365",BMC,31-03-2016
28,8.14,9.35,6.05,8.14,-1.33%,-0.11,"400,395",BMC,31-12-2015
27,9.57,11.22,7.92,8.25,-12.79%,-1.21,"578,964",BMC,30-09-2015
26,12.32,12.32,8.58,9.46,-22.52%,-2.75,"878,714",BMC,30-06-2015
25,16.39,17.82,10.78,12.21,-25.50%,-4.18,"1,688,273",BMC,31-03-2015
24,19.80,22.88,14.52,16.39,-18.13%,-3.63,"89,910",BMC,31-12-2014
23,24.42,31.35,19.58,20.02,-21.55%,-5.50,"122,101",BMC,30-09-2014
22,40.48,42.57,23.10,25.52,-35.38%,-13.97,"113,630",BMC,30-06-2014
21,39.38,56.87,36.30,39.49,+0.28%,+0.11,"209,067",BMC,31-03-2014
20,66.88,67.76,33.66,39.38,-40.73%,-27.06,"342,701",BMC,31-12-2013
19,64.90,73.70,59.51,66.44,+6.53%,+4.07,"183,596",BMC,30-09-2013
18,91.30,96.58,62.37,62.37,-31.69%,-28.93,"65,600",BMC,30-06-2013
17,68.20,98.67,60.50,91.30,+34.09%,+23.21,"251,615",BMC,31-03-2013
16,99.66,102.30,66.00,68.09,-31.60%,-31.46,"49,103",BMC,31-12-2012
15,108.24,114.84,88.11,99.55,-7.46%,-8.03,"8,515",BMC,30-09-2012
14,129.58,131.67,89.10,107.58,-16.98%,-22.00,"10,228",BMC,30-06-2012
13,132.99,155.65,119.68,129.58,-2.24%,-2.97,"23,931",BMC,31-03-2012
12,130.24,162.80,112.31,132.55,+9.74%,+11.77,"15,814",BMC,31-12-2011
11,180.40,187.00,116.16,120.78,-33.45%,-60.72,"26,259",BMC,30-09-2011
10,205.70,213.40,171.05,181.50,-9.74%,-19.58,"34,022",BMC,30-06-2011
9,159.50,207.13,154.00,201.08,+26.07%,+41.58,"57,366",BMC,31-03-2011
8,175.01,183.59,154.00,159.50,-12.12%,-22.00,"25,506",BMC,31-12-2010
7,154.00,219.56,143.55,181.50,+17.02%,+26.40,"32,297",BMC,30-09-2010
6,132.00,168.30,124.85,155.10,+21.55%,+27.50,"69,331",BMC,30-06-2010
5,99.55,134.20,73.70,127.60,+28.18%,+28.05,"145,128",BMC,31-03-2010
4,99.44,102.30,85.47,99.55,0.00%,0.00,"7,238",BMC,31-12-2009
3,101.75,109.89,82.50,99.55,-3.93%,-4.07,"35,404",BMC,30-09-2009
2,150.04,153.56,99.00,103.62,-28.26%,-40.81,"11,424",BMC,30-06-2009
1,231.00,374.00,88.00,144.43,,,"7,602",BMC,31-03-2009
5,164.0,174.5,127.5,134.5,-15.94%,-25.5,"81,317",CTX,30-06-2022
4,175.4,187.0,147.0,160.0,-11.01%,-19.8,"149,689",CTX,31-03-2022
3,185.1,209.0,172.0,179.8,-4.36%,-8.2,"191,881",CTX,31-12-2021
2,199.5,201.9,175.0,188.0,-5.43%,-10.8,"139,709",CTX,30-09-2021
1,174.0,203.0,150.0,198.8,,,"175,935",CTX,30-06-2021
4,21.50,24.40,19.30,20.60,-1.86%,-0.39,"30,799",CAV,30-06-2022
3,21.56,25.19,18.00,20.99,-5.37%,-1.19,"447,976",CAV,31-03-2022
2,23.85,25.55,21.50,22.18,-7.58%,-1.82,"288,987",CAV,31-12-2021
1,23.90,25.25,22.02,24.00,,,"334,814",CAV,30-09-2021
71,59.84,60.50,41.66,48.89,-17.83%,-10.61,"12,059,592",CCC,30-06-2022
70,105.30,106.50,45.00,59.50,-43.60%,-46.00,"26,175,276",CCC,31-03-2022
69,119.50,128.50,92.08,105.50,-12.74%,-15.40,"9,080,738",CCC,31-12-2021
68,113.80,130.00,112.30,120.90,+7.61%,+8.55,"8,526,412",CCC,30-09-2021
67,94.00,128.30,92.52,112.35,+23.00%,+21.01,"10,552,151",CCC,30-06-2021
66,88.06,110.70,76.80,91.34,+4.36%,+3.82,"16,939,676",CCC,31-03-2021
65,46.04,89.78,35.97,87.52,+85.42%,+40.32,"28,580,743",CCC,31-12-2020
64,59.64,66.36,43.52,47.20,-20.91%,-12.48,"14,245,886",CCC,30-09-2020
63,30.24,77.44,28.00,59.68,+99.07%,+29.70,"72,935,598",CCC,30-06-2020
62,110.00,116.00,24.30,29.98,-72.75%,-80.02,"32,074,017",CCC,31-03-2020
61,138.40,141.10,103.50,110.00,-20.46%,-28.30,"7,183,970",CCC,31-12-2019
60,170.39,178.85,120.96,138.30,-17.67%,-29.69,"9,819,674",CCC,30-09-2019
59,215.62,257.87,146.07,167.99,-21.66%,-46.44,"7,998,730",CCC,30-06-2019
58,192.70,215.82,170.39,214.43,+11.33%,+21.82,"6,987,240",CCC,31-03-2019
57,219.21,230.77,164.11,192.61,-12.13%,-26.60,"7,823,598",CCC,31-12-2018
56,202.40,236.95,188.39,219.21,+7.37%,+15.04,"7,744,350",CCC,30-09-2018
55,229.82,280.91,202.20,204.17,-11.23%,-25.84,"6,632,127",CCC,30-06-2018
54,286.83,307.74,222.72,230.01,-18.18%,-51.10,"4,707,074",CCC,31-03-2018
53,285.05,297.83,235.09,281.11,+3.26%,+8.88,"6,473,885",CCC,31-12-2017
52,221.73,292.64,217.71,272.23,+23.79%,+52.31,"4,043,822",CCC,30-09-2017
51,233.85,237.95,199.44,219.92,-5.46%,-12.70,"4,739,861",CCC,30-06-2017
50,198.36,243.38,194.06,232.62,+16.92%,+33.67,"5,297,892",CCC,31-03-2017
49,173.01,199.39,170.22,198.95,+14.99%,+25.94,"4,658,912",CCC,31-12-2016
48,155.89,185.34,147.78,173.01,+12.21%,+18.82,"4,001,424",CCC,30-09-2016
47,154.34,174.43,139.38,154.19,-0.06%,-0.10,"5,593,289",CCC,30-06-2016
46,131.40,155.66,104.75,154.29,+15.30%,+20.47,"5,421,896",CCC,31-03-2016
45,159.18,175.39,123.67,133.82,-15.49%,-24.53,"5,085,272",CCC,31-12-2015
44,166.85,184.07,148.98,158.35,-4.08%,-6.74,"3,237,966",CCC,30-09-2015
43,174.30,192.62,156.98,165.09,-4.86%,-8.44,"3,477,367",CCC,30-06-2015
42,127.00,184.07,124.35,173.53,+37.00%,+46.87,"6,556,786",CCC,31-03-2015
41,120.51,148.53,117.28,126.66,+4.45%,+5.40,"6,002,312",CCC,31-12-2014
40,106.41,131.26,94.32,121.26,+13.96%,+14.85,"1,899,123",CCC,30-09-2014
39,123.76,128.36,98.50,106.41,-13.37%,-16.42,"1,993,910",CCC,30-06-2014
38,109.51,127.04,96.10,122.83,+12.35%,+13.50,"2,376,288",CCC,31-03-2014
37,105.71,132.76,103.65,109.33,+3.47%,+3.67,"2,320,040",CCC,31-12-2013
36,78.93,107.35,74.67,105.66,+34.50%,+27.10,"1,061,641",CCC,30-09-2013
35,65.43,85.30,61.74,78.56,+20.06%,+13.12,"971,807",CCC,30-06-2013
34,67.47,73.57,60.67,65.43,-3.01%,-2.03,"1,639,557",CCC,31-03-2013
33,51.20,70.88,48.52,67.47,+31.77%,+16.26,"2,237,142",CCC,31-12-2012
32,52.93,54.91,46.74,51.20,-3.28%,-1.74,"1,640,660",CCC,30-09-2012
31,52.31,56.52,43.96,52.94,+2.71%,+1.40,"362,441",CCC,30-06-2012
30,45.58,52.58,40.48,51.54,+22.22%,+9.37,"1,205,187",CCC,31-03-2012
29,37.95,42.17,35.00,42.17,+10.85%,+4.13,"2,058,708",CCC,31-12-2011
28,49.53,50.57,31.49,38.04,-23.59%,-11.74,"2,141,757",CCC,30-09-2011
27,50.70,53.68,48.48,49.79,-3.36%,-1.73,"1,282,781",CCC,30-06-2011
26,58.88,58.88,45.89,51.52,-12.50%,-7.36,"873,775",CCC,31-03-2011
25,49.87,60.70,47.66,58.88,+18.25%,+9.09,"977,190",CCC,31-12-2010
24,45.00,51.69,41.69,49.79,+8.39%,+3.85,"2,070,218",CCC,30-09-2010
23,49.29,49.76,43.89,45.93,-2.70%,-1.27,"560,981",CCC,30-06-2010
22,41.00,51.03,40.83,47.21,+14.19%,+5.87,"1,671,515",CCC,31-03-2010
21,39.98,44.19,32.75,41.34,+3.40%,+1.36,"4,184,830",CCC,31-12-2009
20,32.07,40.84,31.65,39.98,+23.07%,+7.49,"4,635,421",CCC,30-09-2009
19,24.12,34.98,23.71,32.49,+34.71%,+8.37,"4,107,629",CCC,30-06-2009
18,31.01,33.58,22.91,24.12,-20.68%,-6.29,"1,051,956",CCC,31-03-2009
17,36.07,36.07,29.98,30.40,-8.75%,-2.92,"624,447",CCC,31-12-2008
16,32.49,39.15,27.74,33.32,+1.26%,+0.42,"788,306",CCC,30-09-2008
15,37.64,39.39,32.49,32.90,-12.59%,-4.74,"618,639",CCC,30-06-2008
14,37.56,40.81,30.32,37.64,+0.43%,+0.16,"2,473,888",CCC,31-03-2008
13,51.69,58.30,37.12,37.48,-31.20%,-16.99,"2,381,542",CCC,31-12-2007
12,63.30,68.63,45.81,54.47,-14.99%,-9.60,"1,617,362",CCC,30-09-2007
11,46.12,71.27,44.97,64.08,+36.02%,+16.97,"5,157,483",CCC,30-06-2007
10,39.71,49.65,33.22,47.11,+14.61%,+6.01,"3,042,787",CCC,31-03-2007
9,37.82,42.26,35.11,41.10,+8.68%,+3.28,"3,516,985",CCC,31-12-2006
8,34.37,43.16,33.79,37.82,+9.81%,+3.38,"1,375,826",CCC,30-09-2006
7,30.28,39.36,28.92,34.44,+13.13%,+4.00,"2,358,745",CCC,30-06-2006
6,25.14,32.69,24.66,30.44,+21.49%,+5.38,"3,562,363",CCC,31-03-2006
5,19.12,26.34,17.19,25.06,+31.05%,+5.94,"3,746,442",CCC,31-12-2005
4,11.25,21.13,11.17,19.12,+69.42%,+7.83,"4,781,506",CCC,30-09-2005
3,10.40,12.34,10.32,11.29,+11.51%,+1.16,"3,619,871",CCC,30-06-2005
2,7.63,10.24,7.15,10.12,+31.91%,+2.45,"4,631,334",CCC,31-03-2005
1,8.11,8.23,7.31,7.67,,,"680,623",CCC,31-12-2004
74,0.810,0.850,0.638,0.758,-10.30%,-0.087,"120,105",CCE,30-06-2022
