symbol,Date,Currency,Net sales revenues,Profit (loss) on operating activities,Gross profit (loss),Net profit (loss) parent,Depreciation,EBITDA,Assets,Equity,Number of shares,Earnings per share (zl),Book value per share (zl)
06MAGNA,30-06-2021,PLN,96,-12826,34176,36126,46,-12780,56507,54647,"13 921,975",2595,3925
06MAGNA,30-09-2021,PLN,98,-4172,-4126,-3374,45,-4127,53578,51274,"13 921,975",-242,3683
06MAGNA,31-12-2021,PLN,98,-5051,-4921,-3888,44,-5007,49722,47386,"13 921,975",-279,3404
06MAGNA,31-03-2022,PLN,3751,3392,3500,2821,49,3441,52090,50207,"13 921,975",203,3606
06MAGNA,30-06-2020,PLN,89,-231,-334,-6,51,-180,21503,19406,"13 921,975",0,1394
06MAGNA,30-09-2020,PLN,105,-92,-191,-223,46,-46,21567,19181,"13 921,975",-16,1378
06MAGNA,31-12-2020,PLN,94,-196,557,-151,46,-150,21636,19032,"13 921,975",-11,1367
06MAGNA,31-03-2021,PLN,133,-437,-415,-512,54,-383,21719,18520,"13 921,975",-37,1330
06MAGNA,30-06-2019,PLN,100,659,535,434,61,720,19064,16953,"13 921,975",31,1218
06MAGNA,30-09-2019,PLN,125,-125,-239,-199,48,-77,19216,16754,"13 921,975",-14,1203
06MAGNA,31-12-2019,PLN,91,-20,378,273,45,25,19583,17028,"13 921,975",20,1223
06MAGNA,31-03-2020,PLN,90,3389,3298,2388,46,3435,21667,19416,"13 921,975",172,1395
06MAGNA,30-06-2018,PLN,89,-445,-534,-426,54,-391,23267,21007,"13 921,975",-31,1509
06MAGNA,30-09-2018,PLN,117,-231,-287,-240,45,-186,23236,20768,"13 921,975",-17,1492
06MAGNA,31-12-2018,PLN,40,-263,-4895,-3968,50,-213,19437,16801,"13 921,975",-285,1207
06MAGNA,31-03-2019,PLN,91,-119,-350,-284,45,-74,19141,16517,"13 921,975",-20,1186
06MAGNA,30-06-2017,PLN,0,-368,-197,-180,92,-276,23562,21965,"13 921,975",-13,1578
06MAGNA,30-09-2017,PLN,0,-354,-398,-338,71,-283,23018,21627,"13 921,975",-24,1553
06MAGNA,31-12-2017,PLN,0,-405,-21,-2,71,-334,23242,21625,"13 921,975",0,1553
06MAGNA,31-03-2018,PLN,301,-39,-236,-192,71,32,23206,21433,"13 921,975",-14,1540
06MAGNA,30-06-2016,PLN,0,-760,-943,-770,134,-626,50689,49052,"13 921,975",-55,3523
06MAGNA,30-09-2016,PLN,0,-619,-163,-342,133,-486,50405,48710,"13 921,975",-25,3499
06MAGNA,31-12-2016,PLN,0,-785,-26297,-26134,130,-655,24691,22576,"13 921,975",-1877,1622
06MAGNA,31-03-2017,PLN,0,-357,-532,-430,107,-250,24245,22146,"13 921,975",-31,1591
06MAGNA,30-06-2015,PLN,0,-435,-78,-82,136,-299,55246,53440,"13 921,975",-6,3839
06MAGNA,30-09-2015,PLN,0,-785,-679,-554,136,-649,54982,52886,"13 921,975",-40,3799
06MAGNA,31-12-2015,PLN,0,-908,-2247,-1820,135,-773,53349,51066,"13 921,975",-131,3668
06MAGNA,31-03-2016,PLN,0,-1134,-937,-776,133,-1001,52055,50290,"13 921,975",-56,3612
06MAGNA,30-06-2014,PLN,0,33763,17837,17060,347,34110,70947,65170,"13 921,975",1225,4681
06MAGNA,30-09-2014,PLN,0,-949,-19741,829,138,-811,69930,66001,"13 921,975",60,4741
06MAGNA,31-12-2014,PLN,0,-196,-178,-24,139,-57,69165,65376,"13 921,975",-2,4696
06MAGNA,31-03-2015,PLN,0,-909,-11911,-11865,137,-772,57146,53522,"13 921,975",-852,3844
06MAGNA,30-09-2013,PLN,0,-1440,7810,7810,38,-1402,68348,65951,"13 921,976",561,4737
06MAGNA,31-12-2013,PLN,0,-747,-96,-610,50,-697,70259,65707,"13 921,976",-44,4720
06MAGNA,31-03-2014,PLN,0,-678,497,234,85,-593,78173,65080,"13 921,975",17,4675
06MAGNA,30-06-2014,PLN,0,-1100,-425,-425,88,-1012,70947,65170,"13 921,975",-31,4681
06MAGNA,30-09-2012,PLN,0,-537,-2259,-2259,38,-499,76706,51168,"11 243,715",-201,4551
06MAGNA,31-12-2012,PLN,0,-422,-6410,-6410,41,-381,71689,48113,"13 921,976",-460,3456
06MAGNA,31-03-2013,PLN,0,-998,-1290,-1286,37,-961,71816,46827,"13 921,976",-92,3364
06MAGNA,30-06-2013,PLN,0,-1022,11341,11337,49,-973,59927,58164,"13 921,976",814,4178
06MAGNA,30-09-2011,PLN,0,-217,-988,-988,43,-174,108150,70925,"8 673,715",-114,8177
06MAGNA,31-12-2011,PLN,0,-870,-13640,-13640,77,-793,99528,57282,"8 673,715",-1573,6604
06MAGNA,31-03-2012,PLN,0,-1343,3879,3879,43,-1300,98619,61624,"8 673,715",447,7105
06MAGNA,30-06-2012,PLN,0,-637,-16294,-16294,33,-604,78992,45374,"8 673,715",-1879,5231
06MAGNA,30-09-2010,PLN,0,-474,-384,-383,44,-430,121888,97694,"8 673,715",-44,11263
06MAGNA,31-12-2010,PLN,0,-614,-23892,-23894,43,-571,98985,74367,"8 673,715",-2755,8574
06MAGNA,31-03-2011,PLN,0,-572,-1124,-1124,44,-528,118416,74755,"8 673,715",-130,8619
06MAGNA,30-06-2011,PLN,0,-417,-1380,-1380,44,-373,117435,72821,"8 673,715",-159,8396
06MAGNA,30-09-2009,PLN,0,-1035,-478,-478,29,-1006,122138,100896,"8 673,715",-55,11632
06MAGNA,31-12-2009,PLN,0,-504,-907,-907,39,-465,121792,99989,"8 673,715",-105,11528
06MAGNA,31-03-2010,PLN,0,-434,-838,-838,44,-390,120357,99151,"8 673,715",-97,11431
06MAGNA,30-06-2010,PLN,0,-564,-1074,-1074,44,-520,124804,98077,"8 673,715",-124,11307
06MAGNA,30-09-2008,PLN,0,-499,-291,-291,2,-497,14058,13842,"1 284,048",-227,10780
06MAGNA,31-12-2008,PLN,0,-828,-283,-283,1,-827,13736,13327,"1 284,048",-220,10379
06MAGNA,31-03-2009,PLN,0,-253,-97,-97,14,-239,102567,101750,"8 673,715",-11,11731
06MAGNA,30-06-2009,PLN,0,-526,-478,-478,29,-497,102148,101374,"8 673,715",-55,11687
06MAGNA,30-09-2007,PLN,0,-436,542,542,2,-434,91726,91361,"1 284,048",422,71151
06MAGNA,31-12-2007,PLN,0,-2101,-8681,-8681,1,-2100,10459,4580,"1 284,048",-6761,3567
06MAGNA,31-03-2008,PLN,0,-345,270,270,2,-343,4610,4330,"1 284,048",210,3372
06MAGNA,30-06-2008,PLN,0,-291,187,187,3,-288,4516,4236,"1 284,048",146,3299
06MAGNA,30-09-2006,PLN,0,-784,-2009,-2009,8,-776,79372,77225,"3 005,612",-668,25694
06MAGNA,31-12-2006,PLN,0,-9330,2442,2442,9,-9321,86493,77462,"3 005,612",812,25772
06MAGNA,31-03-2007,PLN,0,-693,-108,-108,6,-687,78042,77355,"1 284,048",-84,60243
06MAGNA,30-06-2007,PLN,0,-4151,13464,13464,4,-4147,94920,90819,"1 284,048",10486,70729
06MAGNA,30-09-2005,PLN,0,-2474,-3079,-3003,18,-2456,210609,209162,"3 005,612",-999,69590
06MAGNA,31-12-2005,PLN,0,-1785,6960,6843,16,-1769,216414,216057,"3 005,612",2277,71885
06MAGNA,31-03-2006,PLN,0,-1812,-53,-53,9,-1803,216502,216179,"3 005,612",-18,71925
06MAGNA,30-06-2006,PLN,0,-1156,8847,8759,8,-1148,225189,224558,"3 005,612",2914,74713
06MAGNA,30-09-2004,,,,3932,4657,,0,199960,198949,"30 056,124",10,1720
06MAGNA,31-12-2004,,,,751,-565,,0,199960,198949,"30 056,124",40,1770
06MAGNA,31-03-2005,,,,1111,1111,,0,200116,199458,"30 056,124",37,6636
06MAGNA,30-06-2005,,0,-2205,2785,2722,19,-2186,212593,211937,"3 005,612",906,70514
06MAGNA,30-09-2003,,,,911,304,,0,205817,202629,"30 056,124",10,6742
06MAGNA,31-12-2003,,,,1804,2539,,0,199562,195552,"30 056,124",84,6506
06MAGNA,31-03-2004,,,,-1038,-1104,,0,198847,194799,"30 056,000",0,6000
06MAGNA,30-06-2004,,,,3852,4519,,0,201698,198959,"30 056,124",150,6620
06MAGNA,30-09-2002,,,,7030,6660,,0,215502,210617,"30 056,124",222,7007
06MAGNA,31-12-2002,,,,-10668,-9668,,0,202873,199014,"30 056,124",-322,6621
06MAGNA,31-03-2003,,,,6463,4263,,0,208163,203108,"30 056,124",142,6758
06MAGNA,30-06-2003,,,,-1127,-724,,0,206501,202384,"30 056,124",-24,6734
06MAGNA,30-09-2001,,,,1138,498,,0,212109,193873,"30 056,124",17,6450
06MAGNA,31-12-2001,,,,-4063,-4293,,0,193950,189847,"30 056,124",-143,6316
06MAGNA,31-03-2002,,,,26742,26442,,0,220503,217255,"30 056,124",880,7228
06MAGNA,30-06-2002,,,,-14632,-14162,,0,205957,202632,"30 056,124",-471,6742
06MAGNA,30-09-2000,,,,-2154,-2154,,0,251323,214229,"30 056,124",-72,7128
06MAGNA,31-12-2000,,,,-1256,-1256,,0,219236,210621,"30 056,124",-42,7008
06MAGNA,31-03-2001,,,,-696,-696,,0,217963,210080,"30 056,124",-23,6990
06MAGNA,30-06-2001,,,,-6670,-5770,,0,213108,204953,"30 056,124",-192,6819
06MAGNA,30-09-1999,,,,-6021,-6021,,0,386474,341604,"30 458,041",-198,11216
06MAGNA,31-12-1999,,,,-120602,-120602,,0,248443,206801,"30 458,041",-3960,6790
06MAGNA,31-03-2000,,,,1039,1039,,0,267281,231472,"30 056,124",35,7701
06MAGNA,30-06-2000,,,,8578,8578,,0,262505,229082,"30 056,124",285,7622
06MAGNA,31-03-1999,,,,235,235,,0,400123,357250,"30 458,041",8,11729
06MAGNA,30-06-1999,,,,-5000,-5000,,0,390866,359383,"30 458,041",-164,11799
11BIT,31-03-2021,PLN,14837,3442,4288,3559,2942,6384,192480,169339,"2 358,895",1509,71788
11BIT,30-06-2021,PLN,20941,11054,10708,9749,2323,13377,201184,180227,"2 363,143",4126,76266
11BIT,30-09-2021,PLN,13418,3923,4698,4090,1863,5786,204691,185465,"2 363,143",1731,78482
11BIT,31-12-2021,PLN,20927,11612,12137,11285,1793,13405,219513,197337,"2 363,143",4775,83506
11BIT,31-03-2020,PLN,30524,19266,19877,16532,2372,21638,171247,136272,"2 287,199",7228,59580
11BIT,30-06-2020,PLN,19645,9134,8829,10502,2473,11607,176389,144751,"2 287,199",4592,63287
11BIT,30-09-2020,PLN,17990,8733,8271,7110,2548,11281,187586,159272,"2 358,895",3014,67520
11BIT,31-12-2020,PLN,18943,5683,5699,5243,2872,8555,186339,164648,"2 358,895",2223,69799
11BIT,31-03-2019,PLN,14184,5745,5967,4438,1565,7310,115468,96396,"2 287,199",1940,42146
11BIT,30-06-2019,PLN,16555,3439,3508,2479,1473,4912,126622,100417,"2 287,199",1084,43904
11BIT,30-09-2019,PLN,18691,2059,2423,1087,1542,3601,138764,106072,"2 287,199",475,46376
11BIT,31-12-2019,PLN,21791,14140,14644,15218,1844,15984,155668,119740,"2 287,199",6654,52352
11BIT,31-03-2018,PLN,2245,-797,-916,-979,402,-395,46848,45244,"2 287,199",-428,19781
11BIT,30-06-2018,PLN,43481,30980,32392,25895,987,31967,82298,73341,"2 287,199",11322,32066
11BIT,30-09-2018,PLN,13895,5042,4900,3602,1513,6555,86680,78833,"2 287,199",1575,34467
11BIT,31-12-2018,PLN,22493,11724,11729,9032,1591,13315,109263,89912,"2 287,199",3949,39311
11BIT,31-03-2017,PLN,2872,465,-760,-955,486,951,43178,41259,"2 217,199",-431,18608
11BIT,30-06-2017,PLN,5797,2555,1238,1226,453,3008,45053,43076,"2 287,199",536,18834
11BIT,30-09-2017,PLN,2733,-672,-1001,-830,408,-264,44481,42246,"2 287,199",-363,18471
11BIT,31-12-2017,PLN,7750,5272,4913,3977,368,5640,48650,46223,"2 287,199",1739,20209
11BIT,31-03-2016,PLN,7017,5575,5609,4610,710,6285,37882,34490,"2 217,199",2079,15556
11BIT,30-06-2016,PLN,4856,2204,2677,1962,778,2982,38931,36563,"2 217,199",885,16491
11BIT,30-09-2016,PLN,5024,2451,1921,1557,446,2897,40648,38208,"2 217,199",702,17232
11BIT,31-12-2016,PLN,9256,5224,4476,3752,636,5860,45350,42214,"2 217,199",1692,19039
11BIT,31-03-2015,PLN,5830,4831,5084,4211,691,5522,27577,21496,"2 217,199",1899,9695
11BIT,30-06-2015,PLN,6208,4703,4789,3789,215,4918,27828,24626,"2 217,199",1709,11107
11BIT,30-09-2015,PLN,3550,1648,1757,1624,734,2382,28580,26629,"2 217,199",732,12010
11BIT,31-12-2015,PLN,7118,3767,4240,3131,479,4246,33896,29852,"2 217,199",1412,13464
11BIT,31-03-2014,PLN,620,-537,-530,-530,78,-459,8079,7392,"2 217,199",-239,3334
11BIT,30-06-2014,PLN,857,-472,-474,-474,51,-421,7645,6918,"2 217,199",-214,3120
11BIT,30-09-2014,PLN,796,-52,-24,-29,55,3,7699,6735,"2 217,199",-13,3038
11BIT,31-12-2014,PLN,14071,12460,12512,10181,570,13030,21516,17005,"2 217,199",4592,7670
11BIT,31-03-2013,PLN,1004,60,65,57,21,81,7410,6971,"2 217,199",26,3144
11BIT,30-06-2013,PLN,1509,415,430,341,37,452,7741,7312,"2 217,199",154,3298
11BIT,30-09-2013,PLN,700,-401,-377,-305,55,-346,7452,7008,"2 217,199",-137,3161
11BIT,31-12-2013,PLN,1957,793,641,386,83,876,8713,7922,"2 217,199",174,3573
11BIT,31-03-2012,PLN,969,0,428,389,26,26,3473,3259,"1 911,699",203,1705
11BIT,30-06-2012,PLN,567,0,3,-42,37,37,3428,3217,"1 911,699",-22,1683
11BIT,30-09-2012,PLN,1058,0,254,208,24,24,6384,6137,"2 217,199",94,2768
11BIT,31-12-2012,PLN,2223,1115,1021,836,31,1146,7337,6914,"2 217,199",377,3118
11BIT,31-03-2011,PLN,144,0,-50,-50,0,0,1342,1221,"1 870,761",-27,653
11BIT,30-06-2011,PLN,959,0,455,377,7,7,1659,1595,"1 870,761",202,853
11BIT,30-09-2011,PLN,918,0,573,465,0,0,2141,2060,"1 870,761",249,1101
11BIT,31-12-2011,PLN,1034,0,617,510,41,41,2986,2561,"1 870,761",273,1369
11BIT,31-03-2010,PLN,66,0,-16,-16,29,29,0,0,"1 494,200",-11,0
11BIT,30-09-2010,PLN,129,0,-26,-26,6,6,1411,709,"1 494,200",-17,475
11BIT,31-12-2010,PLN,228,0,-198,-198,0,0,1352,1268,"1 870,761",-106,678
3RGAMES,30-06-2021,PLN,247,-276,-294,-294,11,-265,16602,14246,"73 637,880",-4,193
3RGAMES,30-09-2021,PLN,250,-195,-51,-51,7,-188,16956,14195,"73 637,880",-1,193
3RGAMES,31-12-2021,PLN,292,-226,-265,-265,0,-226,17196,13930,"73 637,880",-4,189
3RGAMES,31-03-2022,PLN,266,-162,-202,-202,0,-162,17084,13383,"73 637,880",-3,182
3RGAMES,30-06-2020,PLN,-94,-327,-591,-3854,75,-252,10806,2496,0,,
3RGAMES,30-09-2020,PLN,0,-216,-333,-936,11,-205,2070,1560,0,,
3RGAMES,31-12-2020,PLN,137,-299,-271,-271,10,-289,16853,14844,"73 637,880",-4,202
3RGAMES,31-03-2021,PLN,357,-284,-304,-304,11,-273,16507,14540,"73 637,880",-4,197
3RGAMES,30-06-2019,PLN,168,-490,-1507,-1507,47,-443,6196,3510,"32 000,000",-47,110
3RGAMES,30-09-2019,PLN,185,-568,-527,-527,56,-512,7435,2983,"32 000,000",-16,93
3RGAMES,31-12-2019,PLN,160,-713,-104,-104,71,-642,13034,2878,"32 000,000",-3,90
3RGAMES,31-03-2020,PLN,94,-355,-328,-328,76,-279,12613,6351,"32 000,000",-10,198
3RGAMES,30-06-2018,PLN,128,-1314,-5237,-5237,66,-1248,5125,4013,"18 449,458",-284,218
3RGAMES,30-09-2018,PLN,63,-503,-564,-564,60,-443,5986,3448,"26 000,000",-22,133
3RGAMES,31-12-2018,PLN,-9,-687,-1008,-1008,60,-627,5993,5441,"26 000,000",-39,209
3RGAMES,31-03-2019,PLN,93,-458,-424,-424,75,-383,7093,5017,"32 000,000",-13,157
3RGAMES,30-06-2017,PLN,356,-431,-9561,-9558,59,-372,18555,15585,"18 449,458",-518,845
3RGAMES,30-09-2017,PLN,-654,914,9983,9985,58,972,10665,7516,"18 449,458",541,407
3RGAMES,31-12-2017,PLN,418,-606,-8540,-9313,58,-548,10665,7516,"18 449,458",-505,407
3RGAMES,31-03-2018,PLN,142,-575,-376,-376,79,-496,11424,9249,"18 449,458",-20,501
3RGAMES,30-06-2016,PLN,96,-640,-593,-597,48,-592,24851,24660,"18 449,458",-32,1337
3RGAMES,30-09-2016,PLN,171,-443,-394,-407,47,-396,24463,24252,"18 449,458",-22,1315
3RGAMES,31-12-2016,PLN,199,-1651,357,1186,47,-1604,29250,25570,"18 449,458",64,1386
3RGAMES,31-03-2017,PLN,298,-483,-422,-427,58,-425,29082,25143,"18 449,458",-23,1363
3RGAMES,30-06-2015,PLN,123,-6037,-5927,-5924,24,-6013,22760,22631,"16 031,546",-370,1412
3RGAMES,30-09-2015,PLN,0,-305,-284,-287,56,-249,22409,22344,"16 031,546",-18,1394
3RGAMES,31-12-2015,PLN,45,4755,-624,-628,-25,4730,26991,25748,"18 449,458",-34,1396
3RGAMES,31-03-2016,PLN,46,-713,-660,-672,48,-665,25444,25075,"18 449,458",-36,1359
3RGAMES,30-06-2014,PLN,901,-1179,-1124,-1146,74,-1105,15586,15073,"7 564,000",-152,1993
3RGAMES,30-09-2014,PLN,235,-170,-160,-160,33,-137,15114,14913,"7 564,000",-21,1972
3RGAMES,31-12-2014,PLN,-2789,-210,-108,-504,24,-186,14520,14409,"7 564,000",-67,1905
3RGAMES,31-03-2015,PLN,215,-131,-113,-116,17,-114,14378,14293,"7 564,000",-15,1890
3RGAMES,30-06-2013,PLN,2955,-252,-141,-151,155,-97,19474,17442,"7 564,000",-20,2306
3RGAMES,30-09-2013,PLN,2593,-481,-395,-372,164,-317,19079,17070,"7 564,000",-49,2257
3RGAMES,31-12-2013,PLN,3270,-145,-145,-158,179,34,19150,16580,"7 564,000",-21,2192
3RGAMES,31-03-2014,PLN,2268,-356,-311,-306,171,-185,18012,16274,"7 564,000",-40,2152
3RGAMES,30-06-2012,PLN,2275,-190,49,21,344,154,26493,25168,"7 564,000",3,3327
3RGAMES,30-09-2012,PLN,2742,554,795,643,381,935,27590,25810,"7 564,000",85,3412
3RGAMES,31-12-2012,PLN,3190,-8467,-8801,-8592,395,-8072,20009,17237,"7 564,000",-1136,2279
3RGAMES,31-03-2013,PLN,2734,154,323,356,153,307,19481,17593,"7 564,000",47,2326
3RGAMES,30-06-2011,PLN,1610,368,363,273,215,583,6269,5225,"5 864,000",47,891
3RGAMES,30-09-2011,PLN,1734,385,381,309,218,603,0,0,"5 864,000",53,0
3RGAMES,31-12-2011,PLN,2797,1249,1270,1023,219,1468,7895,6579,"5 864,000",174,1122
3RGAMES,31-03-2012,PLN,1974,216,268,207,335,551,26181,25071,"7 564,000",27,3315
3RGAMES,31-12-2008,PLN,0,0,0,0,0,0,1322,924,"5 864,000",0,158
3RGAMES,31-12-2010,PLN,0,0,0,0,0,0,4933,4092,"5 864,000",0,698
3RGAMES,31-03-2011,,1614,568,564,460,207,775,5797,4953,"5 864,000",78,845
ABPL,30-06-2021,PLN,1762832,18367,18004,16663,1131,19498,1784939,663630,"16 187,644",1029,40996
ABPL,30-09-2021,PLN,1922507,16573,13557,10904,1135,17708,2025859,667599,"16 187,644",674,41241
ABPL,31-12-2021,PLN,2508139,34579,49271,42876,1246,35825,2326472,701083,"16 187,644",2649,43310
ABPL,31-03-2022,PLN,2037621,21287,17966,13267,1297,22584,2270459,708368,"16 187,644",820,43760
ABPL,30-06-2020,PLN,1435627,8808,8124,5990,1025,9833,1858337,605919,"16 187,644",370,37431
ABPL,30-09-2020,PLN,1707987,10530,9384,7308,1011,11541,1818027,608713,"16 187,644",451,37604
ABPL,31-12-2020,PLN,2597785,27609,37153,31583,1005,28614,2082960,631049,"16 187,644",1951,38983
ABPL,31-03-2021,PLN,1812308,14255,11037,9450,1026,15281,1958575,635986,"16 187,644",584,39288
ABPL,30-06-2019,PLN,1144541,5883,5319,4086,971,6854,1512055,573461,"16 187,644",252,35426
ABPL,30-09-2019,PLN,1184289,7778,4241,3122,1041,8819,1633443,571481,"16 187,644",193,35304
ABPL,31-12-2019,PLN,1793902,12539,23855,21281,1037,13576,1748774,597599,"16 187,644",1315,36917
ABPL,31-03-2020,PLN,1280484,8472,7056,5300,1032,9504,1643883,587555,"16 187,644",327,36297
ABPL,30-06-2018,PLN,981752,13188,9486,7325,1063,14251,1341563,529614,"16 187,644",453,32717
ABPL,30-09-2018,PLN,1049911,8438,6651,5636,1049,9487,1480424,542534,"16 187,644",348,33515
ABPL,31-12-2018,PLN,1569402,10848,22870,21008,1040,11888,1572772,562414,"16 187,644",1298,34743
ABPL,31-03-2019,PLN,1042374,7821,6287,4760,1015,8836,1446366,566949,"16 187,644",294,35024
ABPL,30-06-2017,PLN,993550,10343,8711,6330,1177,11520,1260806,495732,"16 187,644",391,30624
ABPL,30-09-2017,PLN,1001215,10248,7097,5735,1178,11426,1465319,496524,"16 187,644",354,30673
ABPL,31-12-2017,PLN,1630307,16337,25533,22407,1126,17463,1518814,526134,"16 187,644",1384,32502
ABPL,31-03-2018,PLN,1050984,10524,7916,6293,1067,11591,1287716,528386,"16 187,644",389,32641
ABPL,30-06-2016,PLN,1005097,13870,12724,9264,1152,15022,1133039,439523,"16 187,644",572,27152
ABPL,30-09-2016,PLN,1115349,12612,11337,9461,1041,13653,1262715,455670,"16 187,644",584,28149
ABPL,31-12-2016,PLN,1420428,19863,26415,22802,1058,20921,1343698,474164,"16 187,644",1409,29292
ABPL,31-03-2017,PLN,1128926,10840,9957,7822,1078,11918,1285972,492445,"16 187,644",483,30421
ABPL,30-06-2015,PLN,971673,15599,15036,13134,1232,16831,931378,401973,"16 187,644",811,24832
ABPL,30-09-2015,PLN,871639,13014,11307,9352,1115,14129,1033236,410287,"16 187,644",578,25346
ABPL,31-12-2015,PLN,1321706,18272,26104,22835,1149,19421,1173227,425748,"16 187,644",1411,26301
ABPL,31-03-2016,PLN,974486,13337,11788,9451,1192,14529,1112203,439711,"16 187,644",584,27163
ABPL,30-06-2014,PLN,1005776,14224,12875,9322,1234,15458,826801,365605,"16 187,644",576,22585
ABPL,30-09-2014,PLN,961213,13348,12725,10032,1168,14516,910634,373079,"16 187,644",620,23047
ABPL,31-12-2014,PLN,1279147,19891,25059,20945,1147,21038,944379,380256,"16 187,644",1294,23491
ABPL,31-03-2015,PLN,1129062,15055,13867,9020,1092,16147,899514,392846,"16 187,644",557,24268
ABPL,30-06-2013,PLN,923552,9261,5224,4082,1461,10722,776769,315786,"16 187,644",252,19508
ABPL,30-09-2013,PLN,849102,11279,10410,8242,1423,12702,744318,329507,"16 187,644",509,20355
ABPL,31-12-2013,PLN,986728,13846,22732,19990,1410,15256,893153,350939,"16 187,644",1235,21679
ABPL,31-03-2014,PLN,935822,13175,9480,7496,1365,14540,836681,357031,"16 187,644",463,22056
ABPL,30-06-2012,PLN,642427,11259,3346,3000,1745,13004,783725,290744,"16 187,644",185,17961
ABPL,30-09-2012,PLN,770197,1100,5100,4057,1506,2606,825261,297226,"16 187,644",251,18361
ABPL,31-12-2012,PLN,1083416,8122,20345,18904,1475,9597,897231,315938,"16 187,644",1168,19517
ABPL,31-03-2013,PLN,992058,8555,2464,2195,1445,10000,815619,314845,"16 187,644",136,19450
ABPL,30-06-2011,PLN,511661,5959,4811,3549,1612,7571,650410,256940,"16 334,002",217,15730
ABPL,30-09-2011,PLN,605118,21400,6759,5055,1698,23098,779589,257014,"16 334,002",309,15735
ABPL,31-12-2011,PLN,835299,19213,24098,22366,1715,20928,820785,285021,"16 334,002",1369,17450
ABPL,31-03-2012,PLN,632586,-3836,5385,4176,1757,-2079,819889,290296,"16 187,644",258,17933
ABPL,30-06-2010,PLN,391446,13640,11173,10210,1226,14866,545461,221784,"16 295,002",627,13611
ABPL,30-09-2010,PLN,477995,2119,5117,4071,1459,3578,640116,225855,"16 295,002",250,13860
ABPL,31-12-2010,PLN,655728,17511,30760,28434,1522,19033,692698,249445,"16 295,002",1745,15308
ABPL,31-03-2011,PLN,561629,7360,4437,3790,1589,8949,725318,253235,"16 295,002",233,15541
ABPL,30-06-2009,PLN,323237,4079,3033,2092,720,4799,462163,205003,"15 950,002",131,12853
ABPL,30-09-2009,PLN,339275,2041,2984,1770,1169,3210,523722,206576,"15 950,002",111,12951
ABPL,31-12-2009,PLN,494439,6825,7575,6174,1197,8022,510900,208329,"15 950,002",387,13061
ABPL,31-03-2010,PLN,408353,2180,3284,2689,1182,3362,498765,211094,"15 950,002",169,13235
ABPL,30-06-2008,PLN,321735,1841,96,28,541,2382,466990,189151,"15 950,002",2,11859
ABPL,30-09-2008,PLN,388064,5547,1592,1022,516,6063,545553,190173,"15 950,002",64,11923
ABPL,31-12-2008,PLN,566098,27400,5384,3572,516,27916,568989,193475,"15 950,002",224,12130
ABPL,31-03-2009,PLN,365364,7707,11608,9895,597,8304,504858,203190,"15 950,002",620,12739
ABPL,30-06-2007,PLN,298854,4873,2903,2415,300,5173,312894,78734,"11 700,002",206,6729
ABPL,30-09-2007,PLN,346481,2233,1185,698,308,2541,0,0,"11 700,002",60,0
ABPL,31-12-2007,PLN,533193,6454,5133,4117,337,6791,559036,188352,"15 950,002",258,11809
ABPL,31-03-2008,PLN,416557,3675,1232,934,347,4022,490600,189286,"15 950,002",59,11867
ABPL,30-06-2006,PLN,233489,10139,8545,7645,361,10500,0,0,0,,
ABPL,30-09-2006,PLN,274434,2948,2404,1865,354,3302,326709,53349,"10 100,002",185,5282
ABPL,31-12-2006,PLN,456598,6779,6739,5562,371,7150,355881,75896,"11 700,002",475,6487
ABPL,31-03-2007,PLN,342516,3308,650,423,390,3698,334404,76212,"11 700,002",36,6514
ABPL,31-12-2004,PLN,0,0,0,0,0,0,197985,43242,0,,
ABPL,30-09-2005,PLN,214692,2050,815,736,213,2263,243988,44959,0,,
ABPL,31-12-2005,PLN,368620,5816,5903,4316,322,6138,294677,49275,0,,
ABPL,31-03-2006,PLN,265667,-4467,-5486,-5436,279,-4188,226315,43839,0,,
ABPL,31-12-2003,PLN,0,0,0,0,0,0,158840,39094,0,,
ACAUTOGAZ,30-06-2021,PLN,57770,8743,8314,7121,2898,11641,207351,124358,"10 073,683",707,12345
ACAUTOGAZ,30-09-2021,PLN,53626,7918,7795,6537,2965,10883,204326,130895,"10 073,683",649,12994
ACAUTOGAZ,31-12-2021,PLN,44016,4658,3944,3501,2910,7568,205870,134396,"10 073,683",348,13341
ACAUTOGAZ,31-03-2022,PLN,62148,8431,8016,7026,3118,11549,216212,141422,"10 073,683",697,14039
ACAUTOGAZ,30-06-2020,PLN,32259,8154,7955,6492,2608,10762,194484,133712,"9 965,183",651,13418
ACAUTOGAZ,30-09-2020,PLN,51934,10468,10552,8750,2787,13255,194917,127174,"9 965,183",878,12762
ACAUTOGAZ,31-12-2020,PLN,38604,4750,4751,4077,2901,7651,196937,132445,"10 073,683",405,13148
ACAUTOGAZ,31-03-2021,PLN,50884,8452,8563,6955,2790,11242,205522,139400,"10 073,683",690,13838
ACAUTOGAZ,30-06-2019,PLN,57522,11774,11463,9364,2804,14578,189681,98276,"9 878,783",948,9948
ACAUTOGAZ,30-09-2019,PLN,55156,12921,13457,11140,2871,15792,186693,109416,"9 878,783",1128,11076
ACAUTOGAZ,31-12-2019,PLN,46521,6396,6310,5292,3035,9431,174768,114691,"9 878,783",536,11610
